일시,성동구,승차총승객수,하차총승객수
20180611,3.534,197820.0,198527.0
20180612,5.25,206790.0,206855.0
20180613,5.558,117261.0,118101.0
20180614,3.312,199674.0,200400.0
20180615,4.958,207858.0,208384.0
20180616,4.976,140339.0,138838.0
20180617,4.814,97571.0,98487.0
20180618,4.056,198864.0,200379.0
20180619,5.16,202195.0,201706.0
20180620,4.978,204213.0,204896.0
20180621,5.184,203354.0,203839.0
20180622,4.972,207616.0,207641.0
20180623,5.048,144330.0,143475.0
20180624,4.494,98448.0,99178.0
20180625,5.252,194490.0,195238.0
20180626,0.704,184519.0,185317.0
20180627,4.638,198047.0,199202.0
20180628,2.938,194452.0,194708.0
20180629,4.698,200792.0,201266.0
20180630,2.814,129387.0,128884.0
20180701,0.464,82103.0,83120.0
20180702,0.602,186036.0,187368.0
20180703,4.548,195171.0,195588.0
20180704,4.94,198250.0,198766.0
20180705,4.304,196554.0,197654.0
20180706,5.46,204318.0,204491.0
20180707,5.444,140428.0,139527.0
20180708,5.15,96469.0,97672.0
20180709,0.834,189841.0,190987.0
20180710,2.812,196859.0,197388.0
20180711,3.854,198194.0,198551.0
20180712,4.992,198322.0,198979.0
20180713,4.848,202241.0,202318.0
20180714,3.928,132642.0,132469.0
20180715,3.494,94739.0,95607.0
20180716,4.328,188491.0,189742.0
20180717,4.662,191710.0,192465.0
20180718,4.556,193587.0,194415.0
20180719,4.332,193618.0,193968.0
20180720,4.244,198023.0,198088.0
20180721,3.214,127193.0,126708.0
20180722,2.78,87865.0,89796.0
20180723,4.362,183149.0,183873.0
20180724,4.11,185968.0,186357.0
20180725,4.284,188531.0,189555.0
20180726,4.066,187659.0,188620.0
20180727,3.732,190212.0,190318.0
20180728,2.416,120923.0,120326.0
20180729,2.962,86421.0,87345.0
20180730,4.042,174838.0,175853.0
20180731,3.906,176026.0,177256.0
20180801,3.426,169644.0,171074.0
20180802,3.364,165592.0,166541.0
20180803,3.606,166813.0,166886.0
20180804,2.824,110161.0,110366.0
20180805,2.828,83146.0,85297.0
20180806,3.028,168872.0,170403.0
20180807,4.046,175127.0,176942.0
20180808,3.86,178524.0,179975.0
20180809,3.248,177718.0,179675.0
20180810,3.902,185575.0,186416.0
20180811,3.216,123234.0,122694.0
20180812,2.732,87226.0,89043.0
20180813,3.97,174789.0,176226.0
20180814,4.028,183021.0,183938.0
20180815,2.836,101626.0,102870.0
20180816,4.552,182392.0,183804.0
20180817,5.272,191541.0,192405.0
20180818,5.138,126738.0,126323.0
20180819,4.698,92625.0,93113.0
20180820,4.93,182356.0,183068.0
20180821,4.512,186294.0,187355.0
20180822,4.72,190056.0,191260.0
20180823,2.43,175970.0,176850.0
20180824,1.658,172206.0,173126.0
20180825,5.258,139582.0,139302.0
20180826,3.322,89653.0,90425.0
20180827,2.458,182420.0,183228.0
20180828,1.364,185101.0,187411.0
20180829,1.318,187431.0,189064.0
20180830,3.356,192262.0,193481.0
20180831,5.14,198174.0,199769.0
20180901,4.616,139383.0,139234.0
20180902,5.676,95621.0,97434.0
20180903,1.74,196361.0,197656.0
20180904,5.43,207178.0,207822.0
20180905,5.862,207710.0,207766.0
20180906,4.426,205244.0,206334.0
20180907,6.048,211198.0,211621.0
20180908,6.212,146017.0,145177.0
20180909,5.716,98590.0,99710.0
20180910,5.764,202901.0,203613.0
20180911,5.52,208785.0,209257.0
20180912,6.028,208140.0,208673.0
20180913,5.792,208417.0,209391.0
20180914,5.25,211211.0,212374.0
20180915,4.85,142695.0,141563.0
20180916,2.57,96447.0,97525.0
20180917,5.712,203891.0,204477.0
20180918,5.912,208204.0,209049.0
20180919,4.818,211266.0,212483.0
20180920,2.446,210845.0,211440.0
20180921,2.966,211964.0,207752.0
20180922,5.302,115071.0,109462.0
20180923,4.13,68250.0,62742.0
20180924,3.996,56113.0,57833.0
20180925,5.224,72492.0,76500.0
20180926,6.522,88193.0,94522.0
20180927,6.246,195007.0,196700.0
20180928,6.178,205880.0,205854.0
20180929,6.982,136798.0,136290.0
20180930,5.948,95580.0,95996.0
20181001,5.258,201435.0,202632.0
20181002,5.972,211213.0,210928.0
20181003,6.936,119293.0,119351.0
20181004,6.198,207076.0,208438.0
20181005,0.664,206381.0,208562.0
20181006,3.458,134797.0,132836.0
20181007,6.23,103582.0,103523.0
20181008,6.006,198594.0,198803.0
20181009,6.854,113530.0,113814.0
20181010,4.552,207640.0,208311.0
20181011,4.518,208899.0,209426.0
20181012,4.674,211473.0,212878.0
20181013,5.22,152114.0,150574.0
20181014,4.948,104581.0,104385.0
20181015,5.118,203666.0,204198.0
20181016,5.204,207264.0,207282.0
20181017,4.884,207676.0,208223.0
20181018,4.82,212853.0,213625.0
20181019,5.132,212690.0,213346.0
20181020,4.826,152156.0,151087.0
20181021,4.978,107662.0,108123.0
20181022,4.908,201067.0,201716.0
20181023,3.742,202863.0,203242.0
20181024,5.002,206786.0,207631.0
20181025,5.05,207096.0,208170.0
20181026,2.462,209693.0,209846.0
20181027,3.406,157832.0,157216.0
20181028,1.97,98599.0,100295.0
20181029,3.686,203659.0,203999.0
20181030,3.794,208149.0,209013.0
20181031,3.922,213207.0,214069.0
20181101,4.38,211245.0,213208.0
20181102,4.648,215237.0,215799.0
20181103,4.058,150934.0,149464.0
20181104,4.248,104482.0,105354.0
20181105,4.478,203504.0,204434.0
20181106,4.152,206645.0,207010.0
20181107,3.048,208247.0,209292.0
20181108,0.286,203697.0,205373.0
20181109,3.562,213885.0,213229.0
20181110,3.2,147343.0,146510.0
20181111,2.174,98164.0,99435.0
20181112,3.946,203581.0,204264.0
20181113,4.248,208330.0,209070.0
20181114,4.37,211325.0,211898.0
20181115,4.22,208252.0,208630.0
20181116,3.69,216636.0,216754.0
20181117,2.682,149511.0,148774.0
20181118,2.51,100146.0,101488.0
20181119,3.6,202771.0,203689.0
20181120,3.702,207588.0,208202.0
20181121,2.84,206717.0,207313.0
20181122,3.058,210920.0,211241.0
20181123,3.04,211992.0,211703.0
20181124,1.012,160253.0,157695.0
20181125,1.922,123632.0,123037.0
20181126,2.99,202365.0,202841.0
20181127,2.886,205989.0,206872.0
20181128,2.916,208703.0,209251.0
20181129,2.878,209377.0,209870.0
20181130,2.878,212904.0,212610.0
20181201,2.424,147374.0,146077.0
20181202,2.164,101208.0,101845.0
20181203,1.112,196612.0,197598.0
20181204,2.134,205173.0,205604.0
20181205,2.342,207250.0,207649.0
20181206,2.408,207118.0,207868.0
20181207,1.522,207366.0,208187.0
20181208,0.862,142851.0,142136.0
20181209,0.818,92715.0,93681.0
20181210,1.75,198486.0,199187.0
20181211,2.186,204278.0,205357.0
20181212,2.018,208029.0,208321.0
20181213,1.28,209854.0,210547.0
20181214,1.648,211599.0,211825.0
20181215,1.136,141770.0,140883.0
20181216,1.082,95487.0,96156.0
20181217,1.978,200855.0,202271.0
20181218,2.156,206982.0,207246.0
20181219,2.342,208730.0,209077.0
20181220,2.458,221206.0,220858.0
20181221,2.472,216596.0,216068.0
20181222,1.516,146759.0,145199.0
20181223,1.198,97810.0,97949.0
20181224,1.752,189885.0,191831.0
20181225,1.162,104208.0,103171.0
20181226,1.766,197522.0,198807.0
20181227,1.12,192888.0,193738.0
20181228,1.124,194561.0,194514.0
20181229,0.726,120971.0,119963.0
20181230,0.746,87817.0,88209.0
20181231,1.206,169525.0,169224.0
20190101,0.744,67747.0,70525.0
20190102,1.514,182806.0,184227.0
20190103,1.78,189971.0,190906.0
20190104,1.862,195939.0,196189.0
20190105,1.094,127620.0,126879.0
20190106,1.018,89441.0,90330.0
20190107,1.716,189316.0,190106.0
20190108,1.68,191433.0,192402.0
20190109,1.666,191065.0,191662.0
20190110,1.87,193450.0,194175.0
20190111,2.064,198870.0,199064.0
20190112,1.268,131153.0,130006.0
20190113,1.034,93084.0,93201.0
20190114,1.616,182476.0,183364.0
20190115,1.566,189587.0,189962.0
20190116,1.614,190306.0,191039.0
20190117,1.9,193639.0,194326.0
20190118,1.91,198291.0,198957.0
20190119,1.326,130989.0,129800.0
20190120,0.932,90234.0,91404.0
20190121,1.75,186104.0,186310.0
20190122,2.064,191367.0,192039.0
20190123,2.022,192491.0,193206.0
20190124,2.146,193761.0,194788.0
20190125,1.804,199379.0,200609.0
20190126,1.278,135226.0,134417.0
20190127,1.152,92694.0,92892.0
20190128,1.814,188769.0,189830.0
20190129,2.036,192207.0,192389.0
20190130,2.118,195620.0,196092.0
20190131,1.878,193188.0,193540.0
20190201,1.764,191149.0,188762.0
20190202,1.324,108253.0,103247.0
20190203,0.188,68955.0,65757.0
20190204,0.774,56616.0,54189.0
20190205,0.976,51103.0,55495.0
20190206,1.252,69620.0,75618.0
20190207,1.468,174910.0,178312.0
20190208,1.462,188779.0,190444.0
20190209,1.17,125202.0,125201.0
20190210,0.798,87476.0,87864.0
20190211,1.624,189495.0,190656.0
20190212,1.87,194196.0,194603.0
20190213,1.994,196311.0,197442.0
20190214,2.012,198395.0,199665.0
20190215,1.12,203362.0,204210.0
20190216,1.228,142892.0,142196.0
20190217,1.438,96420.0,96898.0
20190218,2.086,190740.0,191303.0
20190219,1.098,193548.0,193677.0
20190220,2.014,198674.0,199514.0
20190221,2.218,202373.0,203929.0
20190222,2.26,205715.0,206439.0
20190223,2.418,148057.0,147159.0
20190224,2.23,103651.0,103366.0
20190225,2.36,193361.0,193849.0
20190226,2.978,201309.0,202229.0
20190227,2.962,198025.0,198516.0
20190228,2.682,202762.0,204115.0
20190301,2.108,121704.0,121831.0
20190302,2.22,123839.0,124115.0
20190303,2.32,96888.0,96919.0
20190304,2.592,206536.0,207075.0
20190305,2.552,207894.0,208065.0
20190306,2.566,211810.0,212037.0
20190307,3.248,214207.0,214591.0
20190308,3.506,218030.0,218657.0
20190309,3.21,148647.0,146976.0
20190310,3.21,99305.0,100170.0
20190311,3.156,208162.0,209220.0
20190312,2.646,210288.0,210957.0
20190313,2.972,213204.0,214037.0
20190314,3.17,214006.0,215028.0
20190315,1.998,215941.0,217017.0
20190316,2.676,147037.0,146448.0
20190317,4.06,109844.0,109045.0
20190318,3.698,208357.0,208910.0
20190319,4.016,212191.0,213019.0
20190320,1.57,210401.0,211402.0
20190321,2.718,212793.0,213273.0
20190322,3.156,217808.0,217542.0
20190323,2.11,143653.0,142682.0
20190324,3.1,101307.0,102580.0
20190325,3.426,207189.0,207291.0
20190326,4.2,211523.0,211683.0
20190327,3.518,212011.0,212552.0
20190328,3.654,212769.0,213061.0
20190329,4.564,217724.0,217267.0
20190330,1.23,139747.0,138714.0
20190331,2.008,97683.0,98492.0
20190401,3.784,206279.0,206518.0
20190402,4.188,209695.0,210052.0
20190403,4.316,211880.0,212225.0
20190404,4.572,211165.0,211573.0
20190405,4.592,214588.0,214273.0
20190406,2.404,142655.0,140787.0
20190407,6.056,107644.0,107626.0
20190408,5.156,206975.0,207336.0
20190409,2.348,209061.0,209837.0
20190410,2.71,208126.0,209046.0
20190411,5.056,211595.0,212211.0
20190412,5.236,217397.0,216741.0
20190413,5.676,152613.0,150679.0
20190414,2.584,94925.0,95417.0
20190415,5.432,206390.0,207380.0
20190416,5.966,209660.0,210207.0
20190417,6.174,210719.0,211051.0
20190418,4.778,207293.0,206774.0
20190419,5.918,212161.0,211953.0
20190420,5.716,143163.0,142316.0
20190421,5.672,96609.0,98149.0
20190422,6.398,203885.0,204801.0
20190423,5.564,207246.0,206897.0
20190424,5.538,209866.0,210206.0
20190425,2.12,209846.0,211058.0
20190426,2.822,214625.0,214489.0
20190427,6.94,154760.0,152584.0
20190428,5.736,102603.0,104109.0
20190429,6.326,208856.0,210043.0
20190430,6.91,218372.0,219760.0
20190501,7.792,151174.0,150269.0
20190502,7.23,214875.0,215674.0
20190503,7.548,222018.0,219930.0
20190504,7.064,147405.0,145338.0
20190505,7.332,107086.0,106971.0
20190506,8.524,113549.0,117639.0
20190507,7.04,212724.0,213939.0
20190508,7.104,214366.0,215041.0
20190509,7.352,215361.0,216117.0
20190510,7.538,222293.0,222013.0
20190511,8.206,154057.0,153543.0
20190512,7.78,107362.0,108713.0
20190513,6.59,207256.0,207805.0
20190514,7.7,215031.0,215458.0
20190515,7.184,214655.0,215857.0
20190516,7.592,213988.0,214709.0
20190517,7.908,218040.0,219081.0
20190518,7.858,151150.0,149549.0
20190519,0.976,96931.0,97858.0
20190520,7.002,209783.0,210449.0
20190521,7.636,212826.0,213445.0
20190522,7.682,214166.0,215857.0
20190523,7.546,213120.0,213916.0
20190524,7.23,217986.0,218965.0
20190525,6.99,156735.0,155376.0
20190526,7.25,107298.0,107817.0
20190527,2.768,201506.0,202137.0
20190528,8.07,212074.0,212847.0
20190529,8.196,212679.0,213129.0
20190530,7.088,212277.0,212861.0
20190531,7.472,216425.0,217132.0
20190601,7.186,148287.0,146630.0
20190602,7.396,101040.0,102165.0
20190603,7.546,206386.0,207441.0
20190604,8.22,210541.0,210932.0
20190605,7.554,217489.0,217657.0
20190606,3.414,114244.0,113985.0
20190607,5.12,190084.0,190343.0
20190608,7.432,138054.0,137267.0
20190609,5.562,94205.0,96213.0
20190610,5.79,200401.0,201363.0
20190611,7.79,206766.0,207583.0
20190612,7.108,209812.0,210030.0
20190613,7.05,209077.0,209374.0
20190614,7.398,210534.0,210501.0
20190615,6.004,142427.0,141276.0
20190616,8.04,100775.0,101672.0
20190617,8.134,202733.0,203496.0
20190618,4.318,204590.0,205172.0
20190619,7.01,207650.0,208302.0
20190620,8.36,210861.0,211685.0
20190621,7.812,213323.0,212935.0
20190622,8.27,154472.0,152779.0
20190623,7.744,102703.0,103772.0
20190624,8.586,198232.0,198982.0
20190625,8.292,202822.0,203328.0
20190626,7.692,202539.0,203482.0
20190627,7.67,200709.0,200784.0
20190628,7.436,207065.0,207600.0
20190629,6.298,139240.0,137563.0
20190630,7.236,101123.0,102210.0
20190701,8.638,195180.0,196797.0
20190702,8.866,202249.0,202877.0
20190703,8.916,203789.0,204468.0
20190704,8.714,203133.0,203680.0
20190705,7.724,207764.0,207719.0
20190706,6.438,136290.0,135226.0
20190707,6.894,97355.0,98049.0
20190708,8.704,194001.0,194636.0
20190709,9.302,201519.0,202616.0
20190710,3.956,202189.0,202929.0
20190711,6.206,200136.0,200409.0
20190712,8.598,207949.0,207949.0
20190713,7.214,135811.0,135167.0
20190714,6.726,97974.0,99384.0
20190715,5.644,190950.0,191940.0
20190716,7.73,197961.0,198691.0
20190717,7.736,200032.0,200537.0
20190718,7.212,199241.0,199674.0
20190719,7.348,206351.0,207108.0
20190720,4.784,131737.0,130937.0
20190721,4.486,94001.0,94663.0
20190722,7.726,193350.0,193934.0
20190723,7.672,195249.0,196122.0
20190724,5.412,193626.0,194433.0
20190725,3.498,191509.0,192152.0
20190726,2.084,187485.0,187301.0
20190727,4.588,127579.0,125592.0
20190728,2.212,82493.0,83006.0
20190729,7.144,182910.0,183978.0
20190730,6.88,184812.0,185737.0
20190731,2.14,177965.0,178599.0
20190801,5.724,179386.0,179590.0
20190802,6.302,180282.0,179845.0
20190803,5.07,117055.0,115404.0
20190804,3.992,88213.0,89879.0
20190805,6.098,174853.0,176325.0
20190806,5.812,179383.0,180467.0
20190807,4.27,182122.0,183083.0
20190808,6.316,185889.0,187162.0
20190809,6.282,190310.0,190409.0
20190810,5.0,124834.0,123337.0
20190811,4.124,88865.0,90356.0
20190812,2.146,177446.0,178666.0
20190813,6.136,189250.0,190502.0
20190814,6.15,193738.0,193409.0
20190815,2.484,100377.0,100187.0
20190816,6.726,179114.0,179080.0
20190817,6.796,123172.0,122213.0
20190818,6.982,93538.0,95233.0
20190819,8.076,187870.0,188950.0
20190820,7.736,193057.0,194082.0
20190821,4.668,197362.0,198829.0
20190822,7.63,194400.0,195054.0
20190823,8.134,202009.0,202557.0
20190824,8.18,140393.0,139768.0
20190825,7.976,95064.0,95983.0
20190826,8.438,191140.0,192396.0
20190827,7.854,194696.0,195704.0
20190828,8.132,198691.0,199797.0
20190829,5.982,192238.0,193613.0
20190830,7.866,207724.0,208395.0
20190831,8.534,140046.0,140077.0
20190901,8.542,98426.0,100475.0
20190902,9.112,203576.0,204318.0
20190903,7.336,209703.0,210491.0
20190904,2.518,207202.0,207495.0
20190905,3.06,205485.0,206197.0
20190906,1.504,212545.0,213591.0
20190907,0.0,100165.0,98831.0
20190908,4.188,97347.0,97862.0
20190909,6.302,207622.0,208411.0
20190910,1.804,210800.0,210608.0
20190911,7.222,207053.0,200599.0
20190912,3.164,73129.0,66035.0
20190913,5.386,60476.0,61626.0
20190914,4.388,75187.0,79293.0
20190915,8.43,85360.0,91239.0
20190916,9.084,197271.0,199452.0
20190917,8.9,210515.0,210653.0
20190918,8.752,211693.0,212494.0
20190919,8.726,214359.0,214836.0
20190920,8.506,218261.0,218304.0
20190921,8.044,152489.0,151908.0
20190922,3.228,90746.0,90650.0
20190923,8.248,207236.0,208149.0
20190924,8.408,214314.0,214263.0
20190925,8.462,217423.0,219288.0
20190926,8.126,215927.0,218517.0
20190927,8.438,220540.0,221839.0
20190928,8.196,155005.0,152995.0
20190929,7.898,103494.0,104302.0
20190930,8.252,206356.0,206716.0
20191001,8.152,210124.0,210585.0
20191002,2.452,214690.0,215737.0
20191003,7.55,119813.0,119712.0
20191004,8.858,202062.0,202291.0
20191005,6.89,149321.0,147332.0
20191006,7.736,101302.0,101766.0
20191007,1.804,195109.0,195732.0
20191008,7.618,216284.0,216205.0
20191009,7.958,122955.0,122850.0
20191010,7.562,207146.0,208090.0
20191011,8.172,213951.0,214748.0
20191012,7.704,154792.0,153799.0
20191013,8.136,105431.0,106712.0
20191014,7.538,204740.0,204374.0
20191015,8.214,209699.0,210364.0
20191016,7.87,208231.0,208433.0
20191017,8.196,207757.0,208744.0
20191018,8.398,211724.0,212228.0
20191019,8.486,150284.0,149053.0
20191020,7.972,102936.0,103887.0
20191021,7.96,202646.0,203067.0
20191022,8.442,208071.0,208052.0
20191023,8.068,207880.0,208302.0
20191024,8.566,209605.0,210064.0
20191025,8.072,216815.0,217435.0
20191026,6.358,156046.0,154197.0
20191027,6.232,107486.0,109565.0
20191028,6.514,206810.0,207897.0
20191029,6.554,210403.0,211097.0
20191030,6.898,212059.0,212228.0
20191031,7.29,211516.0,211972.0
20191101,6.92,214155.0,214067.0
20191102,6.15,150850.0,149262.0
20191103,6.652,103852.0,105252.0
20191104,7.57,206242.0,207231.0
20191105,7.382,211242.0,211654.0
20191106,6.932,213822.0,214042.0
20191107,6.49,213240.0,213968.0
20191108,5.946,216812.0,216647.0
20191109,6.026,150193.0,148279.0
20191110,3.942,100936.0,101638.0
20191111,5.81,203670.0,204090.0
20191112,6.442,209002.0,209098.0
20191113,3.686,208472.0,208979.0
20191114,4.33,207641.0,208074.0
20191115,1.52,208048.0,207432.0
20191116,4.096,147087.0,146884.0
20191117,0.974,93506.0,95350.0
20191118,3.638,204992.0,206556.0
20191119,3.664,208332.0,208665.0
20191120,3.96,208751.0,209088.0
20191121,4.562,210861.0,212131.0
20191122,5.478,215235.0,214840.0
20191123,5.036,159356.0,157305.0
20191124,2.202,120733.0,119707.0
20191125,4.238,204360.0,205861.0
20191126,4.93,210209.0,211408.0
20191127,4.378,212997.0,214117.0
20191128,4.572,213207.0,213778.0
20191129,4.314,218467.0,218761.0
20191130,3.466,148130.0,147007.0
20191201,0.794,96705.0,97560.0
20191202,3.278,202851.0,204231.0
20191203,3.264,207521.0,208655.0
20191204,3.668,210139.0,211009.0
20191205,2.92,209371.0,210496.0
20191206,2.698,209698.0,210055.0
20191207,2.06,148394.0,147489.0
20191208,1.924,101073.0,101960.0
20191209,3.266,201566.0,202756.0
20191210,3.43,207769.0,208092.0
20191211,3.422,210967.0,212319.0
20191212,3.456,211657.0,212354.0
20191213,3.482,216180.0,216626.0
20191214,2.542,150420.0,150051.0
20191215,2.642,101058.0,101999.0
20191216,4.132,203325.0,204308.0
20191217,2.408,207097.0,207202.0
20191218,3.514,213106.0,213685.0
20191219,3.404,214294.0,215215.0
20191220,3.274,221710.0,221935.0
20191221,1.792,152823.0,153190.0
20191222,2.236,102855.0,102611.0
20191223,2.91,202483.0,203977.0
20191224,3.392,212269.0,211105.0
20191225,2.052,109001.0,109809.0
20191226,2.366,200626.0,202030.0
20191227,2.678,208280.0,208560.0
20191228,2.168,136134.0,135863.0
20191229,1.63,96072.0,97086.0
20191230,2.312,193317.0,194624.0
20191231,1.91,183214.0,182522.0
20200101,1.432,70979.0,73303.0
20200102,2.754,185376.0,187127.0
20200103,3.016,196553.0,197441.0
20200104,2.166,127980.0,127288.0
20200105,1.934,91026.0,91980.0
20200106,1.46,191019.0,191846.0
20200107,0.222,187975.0,189321.0
20200108,2.216,197744.0,198643.0
20200109,2.718,198217.0,198560.0
20200110,2.862,205099.0,205187.0
20200111,1.964,138011.0,137575.0
20200112,1.732,101558.0,101275.0
20200113,2.492,191059.0,191915.0
20200114,2.824,195442.0,196313.0
20200115,2.714,198600.0,198447.0
20200116,2.896,196601.0,198007.0
20200117,2.87,203310.0,204490.0
20200118,2.292,138348.0,137865.0
20200119,1.654,95236.0,95558.0
20200120,2.852,194641.0,195437.0
20200121,2.996,196353.0,196712.0
20200122,3.074,197772.0,197088.0
20200123,3.172,185435.0,179808.0
20200124,1.864,66877.0,61089.0
20200125,1.362,51602.0,53410.0
20200126,2.202,68891.0,73425.0
20200127,1.42,75406.0,80988.0
20200128,3.022,173775.0,176780.0
20200129,3.474,186216.0,187828.0
20200130,3.672,186645.0,187936.0
20200131,3.468,189417.0,191140.0
20200201,2.398,112349.0,112450.0
20200202,1.994,76900.0,78188.0
20200203,2.962,176792.0,177888.0
20200204,2.416,179780.0,181381.0
20200205,2.12,177469.0,178627.0
20200206,2.284,174097.0,176040.0
20200207,2.622,181298.0,182946.0
20200208,2.048,108213.0,108453.0
20200209,1.892,75974.0,77104.0
20200210,3.406,174047.0,175688.0
20200211,4.108,180252.0,181171.0
20200212,1.204,177129.0,179027.0
20200213,3.394,183073.0,183990.0
20200214,3.986,189965.0,191602.0
