일시,광진구,동대문구,성동구,중랑구
20180223,0.744,0.466,0.896,0.246
20180224,0.866,0.624,0.808,0.288
20180225,0.926,0.588,0.932,0.314
20180226,1.274,0.828,1.448,0.394
20180227,1.152,0.756,1.3,0.396
20180228,0.522,0.354,0.554,0.15
20180301,0.6,0.474,0.66,0.226
20180302,1.028,0.75,1.196,0.346
20180303,2.12,1.04,1.894,0.598
20180304,0.616,0.446,0.628,0.26
20180305,1.18,0.746,1.378,0.326
20180306,1.606,1.032,1.87,0.588
20180307,1.55,0.938,1.612,0.53
20180308,0.952,0.688,1.232,0.334
20180309,1.612,0.998,1.732,0.606
20180310,1.73,1.004,1.602,0.606
20180311,2.144,1.018,1.886,0.712
20180312,2.136,1.244,2.148,0.688
20180313,2.608,1.462,2.47,0.798
20180314,3.622,1.838,3.294,1.0
20180315,1.08,0.6,1.026,0.336
20180316,2.276,1.414,2.338,0.756
20180317,2.616,1.326,2.604,0.806
20180318,1.716,0.922,1.562,0.564
20180319,1.254,0.848,1.33,0.39
20180320,1.598,1.094,1.768,0.538
20180321,1.226,0.724,1.168,0.428
20180322,2.08,1.274,2.126,0.666
20180323,2.372,1.368,2.444,0.854
20180324,1.94,1.168,1.9,0.718
20180325,2.158,1.036,1.674,0.72
20180326,2.146,1.242,2.154,0.674
20180327,2.352,1.53,2.3,0.802
20180328,2.986,1.718,2.962,1.012
20180329,2.972,1.79,2.788,1.062
20180330,3.376,1.886,3.14,1.168
20180331,3.476,1.852,3.276,1.144
20180401,3.078,1.66,3.134,1.156
20180402,3.824,2.186,3.558,1.448
20180403,3.728,2.08,3.446,1.41
20180404,3.488,1.952,3.502,1.122
20180405,0.412,0.244,0.414,0.13
20180406,1.76,1.032,1.85,0.638
20180407,1.474,1.036,1.588,0.772
20180408,0.872,0.616,0.926,0.368
20180409,3.014,1.798,2.964,1.162
20180410,2.62,1.564,2.508,0.928
20180411,3.192,1.968,3.12,1.204
20180412,3.68,2.152,3.86,1.246
20180413,3.866,2.092,3.78,1.35
20180414,0.976,0.674,0.862,0.462
20180415,1.554,0.912,1.488,0.73
20180416,3.718,2.156,3.822,1.32
20180417,3.702,2.264,3.546,1.402
20180418,3.134,1.98,3.042,1.138
20180419,2.734,1.472,2.564,0.974
20180420,3.874,2.008,3.524,1.346
20180421,4.66,2.214,4.204,1.584
20180422,1.216,0.606,1.056,0.54
20180423,0.144,0.086,0.114,0.036
20180424,2.784,1.864,2.922,1.084
20180425,4.304,2.368,3.93,1.716
20180426,4.542,2.426,4.164,1.512
20180427,4.354,2.38,4.014,1.598
20180428,4.73,2.112,3.97,1.712
20180429,4.602,2.164,4.502,1.844
20180430,4.91,2.328,4.07,1.59
20180501,5.12,2.476,4.322,1.914
20180502,1.332,0.664,1.042,0.4
20180503,3.034,1.936,3.074,1.34
20180504,4.418,2.422,4.01,1.662
20180505,5.342,2.266,4.46,1.632
20180506,2.656,1.12,2.328,1.036
20180507,5.57,2.394,5.198,2.082
20180508,4.272,2.486,4.058,1.608
20180509,5.064,2.732,4.694,1.972
20180510,5.038,2.756,4.32,1.908
20180511,4.404,2.634,4.048,1.87
20180512,0.44,0.314,0.402,0.236
20180513,4.602,2.186,4.358,1.838
20180514,4.924,2.754,4.502,1.786
20180515,4.282,2.69,4.374,1.766
20180516,1.152,0.656,1.138,0.394
20180517,0.508,0.342,0.504,0.168
20180518,2.306,1.39,2.194,0.936
20180519,5.662,2.786,5.072,2.142
20180520,4.922,2.314,4.674,2.106
20180521,5.644,2.842,5.138,2.086
20180522,2.184,1.25,2.184,0.948
20180523,4.458,2.526,4.346,1.808
20180524,4.884,2.77,4.36,1.85
20180525,4.924,2.632,4.308,1.964
20180526,5.092,2.55,4.688,2.056
20180527,5.196,2.418,4.612,2.1
20180528,5.234,2.956,4.728,2.056
20180529,3.556,2.464,3.568,1.602
20180530,5.07,2.69,4.65,2.062
20180531,5.182,2.994,4.968,2.062
20180601,5.338,2.85,4.966,2.166
20180602,5.59,2.618,4.624,2.058
20180603,5.24,2.472,4.758,2.078
20180604,5.598,3.168,4.664,2.126
20180605,5.364,3.162,4.608,2.296
20180606,5.274,2.518,4.844,2.122
20180607,5.372,3.044,4.76,2.15
20180608,5.678,3.176,5.09,2.346
20180609,4.358,2.426,3.788,1.954
20180610,4.836,2.514,4.476,2.098
20180611,4.37,2.464,3.534,1.656
20180612,5.744,3.194,5.25,2.27
20180613,6.256,3.358,5.558,2.664
20180614,4.038,2.08,3.312,1.486
20180615,5.622,3.132,4.958,2.198
20180616,6.152,2.954,4.976,2.454
20180617,5.798,2.888,4.814,2.38
20180618,4.672,2.686,4.056,1.934
20180619,5.656,3.38,5.16,2.536
20180620,5.674,3.394,4.978,2.424
20180621,6.198,3.508,5.184,2.438
20180622,6.108,3.228,4.972,2.568
20180623,5.684,3.088,5.048,2.496
20180624,5.258,2.58,4.494,2.01
20180625,5.752,3.314,5.252,2.534
20180626,0.74,0.502,0.704,0.492
20180627,4.816,2.754,4.638,2.178
20180628,3.366,2.138,2.938,1.492
20180629,4.992,2.772,4.698,2.138
20180630,3.318,2.01,2.814,1.53
20180701,0.506,0.31,0.464,0.312
20180702,0.468,0.318,0.602,0.246
20180703,4.802,2.778,4.548,2.224
20180704,5.44,3.104,4.94,2.364
20180705,4.848,2.856,4.304,2.162
20180706,6.028,3.444,5.46,2.5
20180707,6.11,3.01,5.444,2.594
20180708,6.502,2.99,5.15,2.372
20180709,1.016,0.562,0.834,0.414
20180710,3.242,1.826,2.812,1.334
20180711,4.512,2.386,3.854,1.732
20180712,5.434,3.014,4.992,2.444
20180713,5.408,3.036,4.848,2.39
20180714,4.964,2.622,3.928,2.196
20180715,4.286,2.306,3.494,1.864
20180716,5.27,2.962,4.328,2.082
20180717,5.146,3.042,4.662,2.31
20180718,5.158,3.08,4.556,2.236
20180719,5.13,3.154,4.332,2.256
20180720,4.844,2.934,4.244,2.22
20180721,4.098,2.346,3.214,1.86
20180722,3.706,1.852,2.78,1.616
20180723,4.828,2.696,4.362,1.974
20180724,4.614,2.66,4.11,2.016
20180725,4.612,2.714,4.284,2.1
20180726,4.626,2.618,4.066,2.068
20180727,3.904,2.356,3.732,1.974
20180728,3.252,1.808,2.416,1.57
20180729,3.656,1.95,2.962,1.544
20180730,4.62,2.568,4.042,1.892
20180731,4.414,2.412,3.906,1.896
20180801,3.874,2.236,3.426,1.62
20180802,3.966,2.194,3.364,1.656
20180803,3.832,2.262,3.606,1.71
20180804,3.636,1.856,2.824,1.536
20180805,3.522,1.744,2.828,1.48
20180806,3.48,2.246,3.028,1.69
20180807,4.564,2.606,4.046,1.85
20180808,4.7,2.57,3.86,2.028
20180809,3.714,2.124,3.248,1.782
20180810,4.604,2.57,3.902,1.968
20180811,4.242,2.28,3.216,1.734
20180812,3.992,1.84,2.732,1.354
20180813,4.642,2.538,3.97,1.782
20180814,4.67,2.766,4.028,1.95
20180815,3.304,1.864,2.836,1.45
20180816,5.412,2.99,4.552,2.192
20180817,6.114,3.232,5.272,2.288
20180818,6.202,2.842,5.138,2.382
20180819,5.626,2.84,4.698,2.316
20180820,5.216,3.124,4.93,2.242
20180821,5.028,3.11,4.512,2.102
20180822,5.446,3.134,4.72,2.124
20180823,2.892,1.656,2.43,1.334
20180824,1.85,1.122,1.658,0.722
20180825,5.794,3.19,5.258,2.396
20180826,3.844,2.09,3.322,1.728
20180827,2.888,1.688,2.458,1.164
20180828,1.798,1.05,1.364,0.816
20180829,1.752,0.88,1.318,0.52
20180830,4.33,1.918,3.356,1.37
20180831,5.86,3.156,5.14,2.174
20180901,5.654,2.99,4.616,2.274
20180902,6.662,3.178,5.676,2.522
20180903,2.404,1.374,1.74,0.894
20180904,6.474,3.502,5.43,2.49
20180905,7.338,3.898,5.862,2.748
20180906,5.384,3.44,4.426,2.046
20180907,6.992,3.81,6.048,2.754
20180908,7.328,3.566,6.212,2.854
20180909,6.908,3.468,5.716,2.684
20180910,7.156,3.962,5.764,2.906
20180911,7.036,3.99,5.52,2.918
20180912,7.606,3.962,6.028,2.994
20180913,6.988,4.006,5.792,2.952
20180914,5.812,3.646,5.25,2.704
20180915,5.852,3.066,4.85,2.4
20180916,3.168,1.716,2.57,1.53
20180917,6.8,3.962,5.712,3.006
20180918,7.248,4.21,5.912,2.886
20180919,5.88,3.488,4.818,2.462
20180920,2.96,2.02,2.446,1.25
20180921,3.892,2.35,2.966,1.728
20180922,6.262,2.964,5.302,2.668
20180923,4.47,2.286,4.13,2.062
20180924,4.374,1.9,3.996,2.008
20180925,6.29,2.586,5.224,2.34
20180926,7.42,3.214,6.522,2.726
20180927,7.838,4.18,6.246,2.866
20180928,7.628,4.194,6.178,3.088
20180929,8.014,3.752,6.982,3.08
20180930,7.148,3.676,5.948,2.694
20181001,6.446,3.948,5.258,2.744
20181002,7.14,3.944,5.972,3.058
20181003,8.724,3.982,6.936,3.128
20181004,7.52,3.996,6.198,2.992
20181005,1.076,0.552,0.664,0.462
20181006,3.698,2.004,3.458,1.502
20181007,7.168,3.748,6.23,2.732
20181008,7.306,3.908,6.006,2.744
20181009,7.552,3.882,6.854,2.708
20181010,5.486,3.28,4.552,2.224
20181011,5.416,3.432,4.518,2.178
20181012,5.634,3.306,4.674,2.326
20181013,5.99,3.274,5.22,2.372
20181014,5.804,3.042,4.948,2.436
20181015,6.32,3.606,5.118,2.512
20181016,6.152,3.616,5.204,2.394
20181017,5.858,3.624,4.884,2.546
20181018,5.816,3.642,4.82,2.498
20181019,6.032,3.7,5.132,2.67
20181020,5.998,3.452,4.826,2.598
20181021,5.83,2.99,4.978,2.366
20181022,6.424,3.63,4.908,2.398
20181023,4.714,2.846,3.742,2.022
20181024,6.232,3.5,5.002,2.608
20181025,6.446,3.728,5.05,2.552
20181026,2.996,1.976,2.462,1.342
20181027,3.826,2.436,3.406,1.824
20181028,2.49,1.408,1.97,1.018
20181029,4.36,2.718,3.686,1.794
20181030,4.454,2.882,3.794,1.812
20181031,4.752,2.97,3.922,1.878
20181101,5.112,3.046,4.38,2.096
20181102,5.5,3.302,4.648,2.132
20181103,5.074,2.89,4.058,1.954
20181104,4.796,2.82,4.248,1.952
20181105,5.122,3.282,4.478,2.27
20181106,4.956,3.048,4.152,2.188
20181107,3.778,2.364,3.048,1.546
20181108,0.344,0.24,0.286,0.162
20181109,4.012,2.554,3.562,1.698
20181110,3.862,2.4,3.2,1.81
20181111,2.94,1.902,2.174,1.368
20181112,4.836,2.97,3.946,1.938
20181113,4.916,3.13,4.248,2.172
20181114,5.12,3.278,4.37,2.138
20181115,4.902,2.902,4.22,2.08
20181116,4.656,2.974,3.69,1.96
20181117,3.574,2.056,2.682,1.554
20181118,3.294,1.956,2.51,1.416
20181119,4.462,2.77,3.6,1.676
20181120,4.452,2.688,3.702,1.642
20181121,3.572,2.14,2.84,1.51
20181122,3.77,2.26,3.058,1.514
20181123,3.752,2.17,3.04,1.462
20181124,1.44,0.702,1.012,0.57
20181125,2.636,1.4,1.922,0.936
20181126,4.074,2.472,2.99,1.398
20181127,3.648,2.218,2.886,1.464
20181128,3.918,2.304,2.916,1.486
20181129,3.72,2.21,2.878,1.444
20181130,3.522,2.206,2.878,1.47
20181201,2.986,1.746,2.424,1.366
20181202,2.892,1.612,2.164,1.138
20181203,1.4,0.682,1.112,0.438
20181204,2.548,1.52,2.134,1.08
20181205,3.132,1.878,2.342,1.174
20181206,2.986,1.81,2.408,1.192
20181207,1.988,1.188,1.522,0.828
20181208,1.306,0.83,0.862,0.538
20181209,1.252,0.698,0.818,0.51
20181210,2.194,1.364,1.75,0.862
20181211,2.564,1.522,2.186,1.024
20181212,2.372,1.482,2.018,0.892
20181213,1.508,0.964,1.28,0.666
20181214,1.826,1.176,1.648,0.792
20181215,1.562,1.108,1.136,0.672
20181216,1.286,0.942,1.082,0.604
20181217,2.158,1.324,1.978,0.872
20181218,2.522,1.62,2.156,0.91
20181219,2.65,1.634,2.342,1.0
20181220,2.64,1.744,2.458,1.058
20181221,2.648,1.674,2.472,1.094
20181222,1.958,1.312,1.516,0.952
20181223,1.6,1.09,1.198,0.74
20181224,1.872,1.068,1.752,0.86
20181225,1.502,0.93,1.162,0.708
20181226,2.162,1.274,1.766,0.894
20181227,1.406,0.768,1.12,0.64
20181228,1.158,0.712,1.124,0.526
20181229,0.956,0.59,0.726,0.462
20181230,0.998,0.56,0.746,0.46
20181231,1.394,0.828,1.206,0.604
20190101,1.108,0.618,0.744,0.47
20190102,1.678,1.066,1.514,0.696
20190103,1.906,1.232,1.78,0.762
20190104,2.194,1.202,1.862,0.848
20190105,1.598,0.912,1.094,0.748
20190106,1.398,0.87,1.018,0.604
20190107,2.018,1.164,1.716,0.806
20190108,1.944,1.07,1.68,0.816
20190109,1.944,1.062,1.666,0.792
20190110,2.138,1.22,1.87,0.892
20190111,2.396,1.356,2.064,1.018
20190112,1.908,1.054,1.268,0.798
20190113,1.576,0.862,1.034,0.69
20190114,1.874,1.064,1.616,0.668
20190115,1.798,1.046,1.566,0.67
20190116,2.006,1.068,1.614,0.752
20190117,2.214,1.244,1.9,0.894
20190118,2.266,1.36,1.91,0.864
20190119,1.924,1.016,1.326,0.782
20190120,1.486,0.818,0.932,0.678
20190121,1.972,1.28,1.75,0.766
20190122,2.326,1.408,2.064,0.94
20190123,2.314,1.244,2.022,0.842
20190124,2.242,1.394,2.146,0.96
20190125,2.224,1.29,1.804,0.854
20190126,1.646,0.974,1.278,0.768
20190127,1.564,0.956,1.152,0.58
20190128,1.966,1.22,1.814,0.808
20190129,2.248,1.484,2.036,0.932
20190130,2.534,1.402,2.118,1.052
20190131,2.028,1.332,1.878,0.844
20190201,2.162,1.214,1.764,0.854
20190202,1.66,0.966,1.324,0.736
20190203,0.254,0.182,0.188,0.13
20190204,0.95,0.646,0.774,0.602
20190205,1.058,0.602,0.976,0.564
20190206,1.606,0.854,1.252,0.766
20190207,1.768,0.944,1.468,0.726
20190208,1.808,0.988,1.462,0.742
20190209,1.518,0.862,1.17,0.72
20190210,1.172,0.712,0.798,0.556
20190211,2.042,1.202,1.624,0.774
20190212,2.286,1.32,1.87,0.884
20190213,2.226,1.302,1.994,0.858
20190214,2.292,1.268,2.012,0.804
20190215,1.134,0.664,1.12,0.456
20190216,1.596,0.994,1.228,0.706
20190217,1.742,0.914,1.438,0.75
20190218,2.304,1.478,2.086,0.868
20190219,1.398,0.918,1.098,0.578
20190220,2.302,1.45,2.014,0.968
20190221,2.736,1.52,2.218,1.022
20190222,2.61,1.468,2.26,1.014
20190223,3.04,1.672,2.418,1.104
20190224,3.004,1.418,2.23,1.048
20190225,2.842,1.648,2.36,1.106
20190226,3.36,1.896,2.978,1.304
20190227,3.522,2.004,2.962,1.404
20190228,3.254,1.888,2.682,1.388
20190301,2.734,1.512,2.108,1.142
20190302,3.07,1.648,2.22,1.162
20190303,3.214,1.666,2.32,1.294
20190304,3.62,2.096,2.592,1.404
20190305,3.236,1.9,2.552,1.184
20190306,3.29,2.092,2.566,1.286
20190307,4.146,2.246,3.248,1.594
20190308,4.034,2.206,3.506,1.6
20190309,4.272,2.164,3.21,1.518
20190310,4.158,1.888,3.21,1.534
20190311,3.746,2.256,3.156,1.544
20190312,3.126,1.898,2.646,1.192
20190313,3.688,2.04,2.972,1.328
20190314,4.138,2.24,3.17,1.492
20190315,2.772,1.568,1.998,0.988
20190316,3.336,1.872,2.676,1.336
20190317,4.762,2.314,4.06,1.73
20190318,4.776,2.686,3.698,1.656
20190319,5.388,3.138,4.016,1.898
20190320,2.252,1.24,1.57,0.878
20190321,3.456,1.944,2.718,1.136
20190322,4.06,2.498,3.156,1.594
20190323,2.664,1.632,2.11,1.138
20190324,4.184,2.072,3.1,1.456
20190325,4.564,2.55,3.426,1.522
20190326,5.606,3.016,4.2,1.972
20190327,4.836,2.692,3.518,1.744
20190328,5.4,2.948,3.654,1.862
20190329,5.732,2.966,4.564,2.1
20190330,1.512,0.9,1.23,0.634
20190331,2.91,1.54,2.008,1.012
20190401,5.068,2.754,3.784,1.738
20190402,5.508,2.894,4.188,1.892
20190403,5.532,2.932,4.316,2.064
20190404,6.162,3.18,4.572,2.162
20190405,6.054,2.996,4.592,1.878
20190406,3.398,1.726,2.404,1.144
20190407,7.436,3.206,6.056,2.452
20190408,6.604,3.686,5.156,2.308
20190409,3.432,1.85,2.348,1.126
20190410,3.288,1.894,2.71,1.178
20190411,6.5,3.45,5.056,2.254
20190412,6.86,3.768,5.236,2.472
20190413,7.658,3.464,5.676,2.498
20190414,3.6,1.942,2.584,1.426
20190415,7.194,3.79,5.432,2.376
20190416,8.132,4.214,5.966,2.732
20190417,8.584,4.154,6.174,2.832
20190418,6.822,3.58,4.778,2.448
20190419,8.114,4.242,5.918,2.9
20190420,7.328,3.438,5.716,2.41
20190421,7.488,3.328,5.672,2.5
20190422,8.876,4.284,6.398,2.932
20190423,7.938,4.14,5.564,2.82
20190424,7.592,3.92,5.538,2.582
20190425,2.936,1.724,2.12,1.274
20190426,3.89,1.992,2.822,1.51
20190427,8.616,3.9,6.94,2.982
20190428,7.274,3.332,5.736,2.508
20190429,8.058,4.592,6.326,2.858
20190430,9.696,4.81,6.91,3.086
20190501,11.226,5.236,7.792,3.538
20190502,9.996,4.912,7.23,3.33
20190503,9.908,4.876,7.548,3.286
20190504,10.364,4.258,7.064,3.048
20190505,9.478,4.116,7.332,3.198
20190506,10.81,4.368,8.524,3.546
20190507,9.67,5.046,7.04,3.418
20190508,9.27,5.196,7.104,3.37
20190509,10.394,5.116,7.352,3.33
20190510,10.058,5.334,7.538,3.808
20190511,10.67,4.824,8.206,3.862
20190512,10.566,4.548,7.78,3.46
20190513,9.24,5.056,6.59,3.352
20190514,10.574,5.802,7.7,4.062
20190515,9.48,5.646,7.184,3.808
20190516,9.854,5.444,7.592,3.772
20190517,10.404,5.708,7.908,4.104
20190518,10.45,5.176,7.858,4.012
20190519,1.724,0.814,0.976,0.744
20190520,8.862,5.22,7.002,3.368
20190521,9.952,5.832,7.636,4.064
20190522,10.63,5.806,7.682,4.052
20190523,10.08,5.674,7.546,3.932
20190524,9.296,5.514,7.23,4.086
20190525,9.924,4.802,6.99,4.45
20190526,10.04,4.718,7.25,3.866
20190527,3.9,2.08,2.768,1.4
20190528,9.902,5.956,8.07,4.222
20190529,10.508,5.828,8.196,4.286
20190530,9.138,5.272,7.088,3.736
20190531,10.428,5.874,7.472,4.296
20190601,10.724,5.204,7.186,4.052
20190602,10.444,4.968,7.396,3.704
20190603,10.89,6.05,7.546,4.224
20190604,10.742,6.24,8.22,4.304
20190605,10.01,5.802,7.554,4.34
20190606,4.72,2.736,3.414,2.248
20190607,6.572,3.578,5.12,2.494
20190608,11.138,5.308,7.432,4.278
20190609,7.784,4.28,5.562,3.142
20190610,8.156,4.62,5.79,3.114
20190611,10.548,6.126,7.79,4.316
20190612,10.234,6.28,7.108,4.454
20190613,11.054,6.138,7.05,4.216
20190614,10.896,5.974,7.398,4.544
20190615,9.234,4.844,6.004,3.752
20190616,10.998,5.32,8.04,3.946
20190617,10.674,6.242,8.134,4.288
20190618,5.768,3.134,4.318,1.762
20190619,10.262,5.574,7.01,3.714
20190620,11.632,6.154,8.36,4.388
20190621,10.236,5.616,7.812,3.978
20190622,11.234,5.602,8.27,4.31
20190623,10.24,4.886,7.744,3.866
20190624,10.468,6.17,8.586,4.568
20190625,10.684,6.514,8.292,4.444
20190626,10.132,5.772,7.692,4.466
20190627,9.886,5.8,7.67,3.924
20190628,9.216,5.52,7.436,3.832
20190629,8.404,4.202,6.298,3.734
20190630,9.952,5.112,7.236,4.164
20190701,11.342,6.796,8.638,4.88
20190702,11.616,6.758,8.866,5.016
20190703,11.986,6.71,8.916,4.834
20190704,11.492,6.594,8.714,4.946
20190705,10.114,5.834,7.724,4.274
20190706,9.422,4.916,6.438,4.014
20190707,9.678,5.204,6.894,4.172
20190708,11.57,6.652,8.704,4.658
20190709,11.572,6.834,9.302,4.808
20190710,5.312,3.514,3.956,2.214
20190711,7.154,4.404,6.206,2.986
20190712,11.52,6.5,8.598,4.758
20190713,10.212,5.35,7.214,4.244
20190714,9.814,5.004,6.726,3.626
20190715,6.464,4.35,5.644,3.13
20190716,9.084,5.854,7.73,3.912
20190717,9.25,5.916,7.736,4.332
20190718,9.444,5.98,7.212,4.112
20190719,9.274,5.758,7.348,4.042
20190720,7.216,3.774,4.784,3.352
20190721,5.762,3.09,4.486,2.448
20190722,9.81,6.072,7.726,4.082
20190723,9.806,5.868,7.672,4.364
20190724,7.898,4.574,5.412,3.254
20190725,4.474,2.776,3.498,1.858
20190726,3.004,1.73,2.084,1.24
20190727,5.786,3.576,4.588,2.416
20190728,2.95,1.758,2.212,1.324
20190729,8.408,5.074,7.144,3.556
20190730,8.772,5.2,6.88,3.614
20190731,3.44,1.722,2.14,1.19
20190801,7.264,3.95,5.724,2.984
20190802,7.918,4.658,6.302,3.484
20190803,6.532,3.774,5.07,2.694
20190804,6.078,2.848,3.992,2.26
20190805,8.208,4.566,6.098,3.506
20190806,8.096,4.742,5.812,3.506
20190807,6.086,3.424,4.27,2.706
20190808,8.576,4.676,6.316,3.59
20190809,7.796,4.674,6.282,3.61
20190810,6.878,3.876,5.0,2.96
20190811,6.282,3.008,4.124,2.522
20190812,3.108,1.796,2.146,1.266
20190813,7.924,4.454,6.136,3.302
20190814,8.56,4.642,6.15,3.456
20190815,3.484,2.248,2.484,1.676
20190816,9.048,4.804,6.726,3.516
20190817,9.644,4.908,6.796,3.898
20190818,9.75,4.704,6.982,3.99
20190819,10.34,5.65,8.076,4.266
20190820,10.72,5.852,7.736,4.312
20190821,6.704,3.852,4.668,2.966
20190822,10.754,5.854,7.63,4.348
20190823,11.324,5.952,8.134,4.394
20190824,11.938,5.51,8.18,4.638
20190825,10.942,4.906,7.976,4.052
20190826,11.198,6.078,8.438,4.342
20190827,10.328,5.84,7.854,4.266
20190828,10.488,6.612,8.132,4.9
20190829,7.0,4.75,5.982,3.69
20190830,9.764,5.428,7.866,3.97
20190831,12.842,6.188,8.534,4.756
20190901,12.422,5.768,8.542,4.468
20190902,12.154,6.862,9.112,4.734
20190903,9.558,6.06,7.336,3.664
20190904,3.848,2.038,2.518,1.702
20190905,4.036,2.484,3.06,1.864
20190906,2.02,1.396,1.504,1.024
20190907,0.0,0.0,0.0,0.0
20190908,5.83,2.658,4.188,2.482
20190909,8.448,4.792,6.302,3.222
20190910,2.808,1.486,1.804,0.822
20190911,9.79,5.258,7.222,3.682
20190912,4.568,2.412,3.164,2.106
20190913,7.716,3.314,5.386,3.272
20190914,6.166,3.228,4.388,3.23
20190915,10.864,5.032,8.43,4.17
20190916,12.074,6.644,9.084,4.9
20190917,11.324,7.03,8.9,5.068
20190918,11.946,6.798,8.752,5.162
20190919,12.352,6.506,8.726,5.042
20190920,12.08,6.522,8.506,5.042
20190921,11.564,6.302,8.044,4.812
20190922,4.53,3.168,3.228,2.444
20190923,10.918,6.586,8.248,4.862
20190924,11.058,6.68,8.408,5.174
20190925,11.736,6.6,8.462,5.024
20190926,11.098,6.618,8.126,4.974
20190927,11.208,6.864,8.438,4.954
20190928,11.724,6.076,8.196,5.002
20190929,12.014,5.482,7.898,4.612
20190930,11.436,6.452,8.252,4.918
20191001,11.316,6.492,8.152,5.114
20191002,3.418,2.118,2.452,1.596
20191003,9.416,4.514,7.55,3.478
20191004,11.582,6.402,8.858,5.004
20191005,10.398,5.252,6.89,4.42
20191006,10.49,5.206,7.736,4.688
20191007,2.7,1.686,1.804,1.296
20191008,9.642,5.932,7.618,4.498
20191009,10.722,5.396,7.958,4.314
20191010,9.974,5.662,7.562,4.42
20191011,11.334,6.38,8.172,4.78
20191012,10.616,5.388,7.704,4.546
20191013,10.884,5.482,8.136,4.212
20191014,9.502,5.508,7.538,4.244
20191015,10.518,5.986,8.214,4.668
20191016,10.29,6.128,7.87,4.498
20191017,10.51,6.124,8.196,4.508
20191018,10.792,6.128,8.398,4.61
20191019,11.246,5.582,8.486,4.566
20191020,10.808,5.062,7.972,4.296
20191021,10.612,6.042,7.96,4.468
20191022,10.44,6.622,8.442,4.96
20191023,10.74,6.594,8.068,4.81
20191024,10.364,6.692,8.566,4.948
20191025,9.242,6.33,8.072,4.394
20191026,9.078,4.756,6.358,3.802
20191027,8.546,4.236,6.232,3.456
20191028,7.69,5.038,6.514,3.362
20191029,7.686,5.442,6.554,3.774
20191030,9.386,5.772,6.898,4.206
20191031,9.108,5.642,7.29,4.056
20191101,8.906,5.826,6.92,4.194
20191102,8.278,4.824,6.15,3.776
20191103,8.296,4.464,6.652,3.838
20191104,9.494,5.61,7.57,4.138
20191105,9.516,5.706,7.382,4.07
20191106,9.138,5.556,6.932,4.01
20191107,8.274,4.994,6.49,3.822
20191108,7.844,4.62,5.946,3.544
20191109,7.838,4.218,6.026,3.31
20191110,5.19,2.932,3.942,2.266
20191111,7.212,4.284,5.81,2.926
20191112,8.356,5.112,6.442,3.492
20191113,4.73,3.096,3.686,2.1
20191114,5.404,3.304,4.33,2.286
20191115,1.878,1.216,1.52,0.784
20191116,5.904,3.23,4.096,2.442
20191117,1.51,0.756,0.974,0.69
20191118,4.72,2.976,3.638,2.026
20191119,5.166,3.16,3.664,2.036
20191120,5.362,3.216,3.96,2.146
20191121,5.822,3.528,4.562,2.38
20191122,6.732,3.984,5.478,2.788
20191123,7.168,3.744,5.036,2.714
20191124,3.282,1.898,2.202,1.448
20191125,5.262,3.436,4.238,2.152
20191126,6.276,4.072,4.93,2.522
20191127,5.548,3.588,4.378,2.464
20191128,5.632,3.518,4.572,2.464
