일시,광진구,동대문구,성동구,중랑구,광진구_따릉이대여소,동대문구_따릉이대여소,성동구_따릉이대여소,중랑구_따릉이대여소,광진구_하차총승객수_mean,광진구_하차총승객수_sum,광진구_하차총승객수_size,동대문구_하차총승객수_mean,동대문구_하차총승객수_sum,동대문구_하차총승객수_size,성동구_하차총승객수_mean,성동구_하차총승객수_sum,성동구_하차총승객수_size,중랑구_하차총승객수_mean,중랑구_하차총승객수_sum,중랑구_하차총승객수_size
20180112,0.514,0.318,0.596,0.136,50,49,56,49,153.1263888888889,110251.0,720.0,161.90837901331244,206757.0,1277.0,119.24839400428266,111378.0,934.0,100.63642857142855,140891.0,1400.0
20180113,0.492,0.296,0.454,0.188,50,49,56,49,126.07766990291262,90902.0,721.0,132.9592795614722,169789.0,1277.0,89.69346195069667,83684.0,933.0,81.91880341880342,115014.0,1404.0
20180114,0.496,0.414,0.554,0.17,50,49,56,49,97.02524544179524,69179.0,713.0,98.91581431943352,125722.0,1271.0,65.30860215053764,60737.0,930.0,61.37042354630295,85489.0,1393.0
20180115,0.722,0.52,0.918,0.26,50,49,56,49,160.46944444444443,115538.0,720.0,172.77308294209703,220804.0,1278.0,124.97326203208556,116850.0,935.0,106.10642857142857,148549.0,1400.0
20180116,0.844,0.63,1.012,0.258,50,49,56,49,158.716459197787,114752.0,723.0,172.10633307271306,220124.0,1279.0,124.72222222222224,116740.0,936.0,104.33333333333331,146484.0,1404.0
20180117,0.82,0.59,0.9,0.24,50,49,56,49,167.0431154381085,120104.0,719.0,180.27877838684407,230216.0,1277.0,131.475884244373,122667.0,933.0,111.14,155596.0,1400.0
20180118,0.788,0.638,1.01,0.228,50,49,56,49,164.20502092050208,117735.0,717.0,176.8526645768025,225664.0,1276.0,129.2143622722401,120557.0,933.0,108.46509971509973,152285.0,1404.0
20180119,0.984,0.634,1.126,0.294,50,49,56,49,165.13001383125865,119389.0,723.0,177.99530516431926,227478.0,1278.0,129.19914346895075,120672.0,934.0,108.33143264433356,151989.0,1403.0
20180120,0.77,0.486,0.804,0.276,50,49,56,49,129.41355463347165,93566.0,723.0,135.62098668754894,173188.0,1277.0,92.47424892703864,86186.0,932.0,83.74714285714286,117246.0,1400.0
20180121,0.664,0.448,0.648,0.268,50,49,56,49,99.67461430575035,71068.0,713.0,101.27742946708464,129230.0,1276.0,67.78494623655914,63040.0,930.0,62.47357142857143,87463.0,1400.0
20180122,0.624,0.396,0.692,0.162,50,49,56,49,159.32496513249652,114236.0,717.0,171.7752545027408,219357.0,1277.0,124.90792291220556,116664.0,934.0,104.47785714285716,146269.0,1400.0
20180123,0.432,0.386,0.636,0.11,50,49,56,49,152.08926080892607,109048.0,717.0,164.14117647058825,209280.0,1275.0,121.6427807486631,113736.0,935.0,101.72305496074232,142514.0,1401.0
20180124,0.396,0.302,0.498,0.088,50,49,56,49,148.02364394993046,106429.0,719.0,155.92181391712276,199424.0,1279.0,117.85483870967742,109605.0,930.0,98.91077801570307,138574.0,1401.0
20180125,0.444,0.306,0.492,0.098,50,49,56,49,149.84840055632824,107741.0,719.0,159.32888540031396,202985.0,1274.0,118.48608137044968,110666.0,934.0,99.0206847360913,138827.0,1402.0
20180126,0.36,0.29,0.526,0.088,50,49,56,49,150.18948824343016,108587.0,723.0,159.58763693270737,203953.0,1278.0,119.0985010706638,111238.0,934.0,100.19555873925502,139873.0,1396.0
20180127,0.358,0.278,0.352,0.116,50,49,56,49,118.82311977715878,85315.0,718.0,125.07142857142856,159341.0,1274.0,85.59763948497854,79777.0,932.0,78.72206303724928,109896.0,1396.0
20180128,0.316,0.294,0.334,0.128,50,49,56,49,93.2689075630252,66594.0,714.0,96.89133858267716,123052.0,1270.0,64.39116379310344,59755.0,928.0,60.89747292418773,84343.0,1385.0
20180129,0.574,0.366,0.62,0.132,50,49,56,49,155.02513966480447,110998.0,716.0,164.54581049334377,210125.0,1277.0,121.66881028938909,113517.0,933.0,101.91416309012877,142476.0,1398.0
20180130,0.444,0.288,0.512,0.098,50,49,56,49,155.68200836820083,111624.0,717.0,172.38871473354232,219968.0,1276.0,124.63169164882228,116406.0,934.0,105.067287043665,146779.0,1397.0
20180131,0.474,0.338,0.598,0.1,50,49,56,49,166.39004149377593,120300.0,723.0,180.86004691164973,231320.0,1279.0,132.2716577540107,123674.0,935.0,110.20598717034925,154619.0,1403.0
20180201,0.726,0.43,0.816,0.202,50,49,56,49,162.4479889042996,117125.0,721.0,177.20015637216576,226639.0,1279.0,129.03208556149733,120645.0,935.0,108.33285917496444,152316.0,1406.0
20180202,0.732,0.47,0.886,0.224,50,49,56,49,168.29526462395543,120836.0,718.0,182.10250391236303,232727.0,1278.0,131.6855614973262,123126.0,935.0,111.90462633451958,157226.0,1405.0
20180203,0.448,0.312,0.44,0.152,50,49,56,49,126.55153203342618,90864.0,718.0,136.7503924646782,174220.0,1274.0,92.19292604501608,86016.0,933.0,83.77817403708987,117457.0,1402.0
20180204,0.322,0.244,0.328,0.126,50,49,56,49,96.1800281293952,68384.0,711.0,99.89150943396228,127062.0,1272.0,65.29430719656284,60789.0,931.0,62.88336933045356,87345.0,1389.0
20180205,0.522,0.362,0.622,0.144,50,49,56,49,161.47552447552448,115455.0,715.0,173.0907668231612,221210.0,1278.0,127.08886509635974,118701.0,934.0,107.36571428571428,150312.0,1400.0
20180206,0.472,0.342,0.592,0.114,50,49,56,49,161.75555555555556,116464.0,720.0,172.97652582159623,221064.0,1278.0,127.91755888650964,119475.0,934.0,107.31115879828326,150021.0,1398.0
20180207,0.614,0.43,0.676,0.158,50,49,56,49,165.92361111111111,119465.0,720.0,180.2057902973396,230303.0,1278.0,130.64171122994654,122150.0,935.0,111.03854389721629,155565.0,1401.0
20180208,0.706,0.476,0.758,0.174,50,49,56,49,166.41470180305132,119985.0,721.0,183.55990602975723,234406.0,1277.0,132.77516059957173,124012.0,934.0,111.35331905781584,156006.0,1401.0
20180209,0.838,0.48,0.946,0.23,50,49,56,49,167.17107093184978,120196.0,719.0,182.7740422204848,233768.0,1279.0,132.0492505353319,123334.0,934.0,110.05345687811833,154405.0,1403.0
20180210,0.614,0.4,0.606,0.236,50,49,56,49,127.95530726256985,91616.0,716.0,141.21926389976508,180337.0,1277.0,94.46359743040684,88229.0,934.0,85.27670250896057,118961.0,1395.0
20180211,0.45,0.28,0.356,0.144,50,49,56,49,96.55586592178771,69134.0,716.0,102.71958925750396,130043.0,1266.0,67.21589688506982,62578.0,931.0,62.124820659971306,86602.0,1394.0
20180212,0.652,0.46,0.716,0.178,50,49,56,49,159.9972299168975,115518.0,722.0,177.34717868338558,226295.0,1276.0,127.0405982905983,118910.0,936.0,107.58831908831908,151054.0,1404.0
20180213,0.788,0.52,0.892,0.288,50,49,56,49,162.07938718662953,116373.0,718.0,180.5399061032864,230730.0,1278.0,129.72542735042734,121423.0,936.0,108.10227272727272,152208.0,1408.0
20180214,0.9,0.55,0.994,0.272,50,49,56,49,160.13566433566433,114497.0,715.0,174.25920125293658,222529.0,1277.0,126.32510729613732,117735.0,932.0,108.27376697641172,151475.0,1399.0
20180215,0.436,0.332,0.488,0.218,50,49,56,49,68.97743300423132,48905.0,709.0,73.48259493670886,92882.0,1264.0,50.36864864864865,46591.0,925.0,48.91358024691358,67354.0,1377.0
20180216,0.318,0.244,0.398,0.192,50,49,56,49,54.92231638418079,38885.0,708.0,56.60079365079365,71317.0,1260.0,38.17377049180328,34929.0,915.0,40.83406432748538,55861.0,1368.0
20180217,0.388,0.298,0.442,0.236,50,49,56,49,75.36492220650636,53283.0,707.0,72.93685872138911,92411.0,1267.0,48.91163793103448,45390.0,928.0,50.2514450867052,69548.0,1384.0
20180218,0.65,0.368,0.568,0.262,50,49,56,49,90.4231843575419,64743.0,716.0,88.69992144540456,112915.0,1273.0,61.15608180839613,56814.0,929.0,58.62814070351759,81669.0,1393.0
20180219,0.954,0.628,1.22,0.32,50,49,56,49,154.7883008356546,111138.0,718.0,162.8450704225352,208116.0,1278.0,117.93903743315508,110273.0,935.0,102.7313753581662,143413.0,1396.0
20180220,0.958,0.74,1.238,0.302,50,49,56,49,161.1375,116019.0,720.0,172.61580594679185,220603.0,1278.0,125.95935828877003,117772.0,935.0,106.58202567760344,149428.0,1402.0
20180221,0.946,0.664,1.086,0.338,50,49,56,49,163.48891966759004,118039.0,722.0,175.2358934169279,223601.0,1276.0,127.46145610278371,119049.0,934.0,107.41524216524216,150811.0,1404.0
20180222,1.008,0.614,1.134,0.318,50,49,56,49,163.20251396648044,116853.0,716.0,175.11258795934324,223969.0,1279.0,127.13903743315508,118875.0,935.0,108.86162624821684,152624.0,1402.0
20180223,0.744,0.466,0.896,0.246,50,49,56,49,166.81881051175657,120610.0,723.0,177.79202501954651,227396.0,1279.0,129.2235294117647,120824.0,935.0,110.27777777777776,154830.0,1404.0
20180224,0.866,0.624,0.808,0.288,50,49,56,49,132.47346368715085,94851.0,716.0,141.79843137254903,180793.0,1275.0,96.55150214592274,89986.0,932.0,86.39288256227758,121382.0,1405.0
20180225,0.926,0.588,0.932,0.314,50,49,56,49,102.12916666666666,73533.0,720.0,104.21585557299844,132771.0,1274.0,69.51768488745981,64860.0,933.0,64.435,90209.0,1400.0
20180226,1.274,0.828,1.448,0.394,50,49,56,49,160.17548746518105,115006.0,718.0,174.01566170712607,222218.0,1277.0,125.85284640171858,117169.0,931.0,106.41595441595442,149408.0,1404.0
20180227,1.152,0.756,1.3,0.396,50,49,56,49,161.2108938547486,115427.0,716.0,175.64945226917058,224480.0,1278.0,126.6431623931624,118538.0,936.0,107.46065808297568,150230.0,1398.0
20180228,0.522,0.354,0.554,0.15,50,49,56,49,162.33986013986015,116073.0,715.0,175.14698983580922,224013.0,1279.0,127.47598719316969,119445.0,937.0,106.2992181947406,149563.0,1407.0
20180301,0.6,0.474,0.66,0.226,50,49,56,49,109.73146853146854,78458.0,715.0,116.63372549019608,148708.0,1275.0,78.28877005347593,73200.0,935.0,71.6830835117773,100428.0,1401.0
20180302,1.028,0.75,1.196,0.346,50,49,56,49,170.5730180806676,122642.0,719.0,187.1870109546166,239225.0,1278.0,131.73076923076923,123300.0,936.0,116.70919458303636,163743.0,1403.0
20180303,2.12,1.04,1.894,0.598,50,49,56,49,130.77040110650069,94547.0,723.0,138.47058823529412,176550.0,1275.0,94.29550321199144,88072.0,934.0,84.71509971509971,118940.0,1404.0
20180304,0.616,0.446,0.628,0.26,50,49,56,49,98.57422969187677,70382.0,714.0,99.81739811912226,127367.0,1276.0,68.32185145317546,63471.0,929.0,62.92656587473002,87405.0,1389.0
20180305,1.18,0.746,1.378,0.326,50,49,56,49,167.19471488178024,120213.0,719.0,189.2075176194205,241618.0,1277.0,131.924064171123,123349.0,935.0,114.52635327635328,160795.0,1404.0
20180306,1.606,1.032,1.87,0.588,50,49,56,49,166.92222222222222,120184.0,720.0,191.71383893666928,245202.0,1279.0,132.89721627408994,124126.0,934.0,114.94452347083926,161612.0,1406.0
20180307,1.55,0.938,1.612,0.53,50,49,56,49,170.5614525139665,122122.0,716.0,192.44253322908523,246134.0,1279.0,133.88317256162915,124913.0,933.0,115.80813124108415,162363.0,1402.0
20180308,0.952,0.688,1.232,0.334,50,49,56,49,165.6593103448276,120103.0,725.0,188.33724569640063,240695.0,1278.0,131.5741728922092,123285.0,937.0,111.73541963015649,157100.0,1406.0
20180309,1.612,0.998,1.732,0.606,50,49,56,49,171.05409153952843,123330.0,721.0,192.06969459671103,245273.0,1277.0,134.29317697228146,125967.0,938.0,114.65195729537366,161086.0,1405.0
20180310,1.73,1.004,1.602,0.606,50,49,56,49,134.52785515320335,96591.0,718.0,143.02892885066458,182934.0,1279.0,98.32618025751071,91640.0,932.0,87.241773962804,121964.0,1398.0
20180311,2.144,1.018,1.886,0.712,50,49,56,49,105.69456066945608,75783.0,717.0,107.8956043956044,137459.0,1274.0,71.53218884120172,66668.0,932.0,66.1271551724138,92049.0,1392.0
20180312,2.136,1.244,2.148,0.688,50,49,56,49,165.336578581363,118877.0,719.0,188.0634796238245,239969.0,1276.0,130.28235294117647,121814.0,935.0,113.30171184022824,158849.0,1402.0
20180313,2.608,1.462,2.47,0.798,50,49,56,49,167.55230125523013,120135.0,717.0,190.2942097026604,243196.0,1278.0,132.44171122994652,123833.0,935.0,114.2384011420414,160048.0,1401.0
20180314,3.622,1.838,3.294,1.0,50,49,56,49,171.63611111111112,123578.0,720.0,194.14933541829555,248317.0,1279.0,134.5837780149413,126105.0,937.0,115.78820184790334,162914.0,1407.0
20180315,1.08,0.6,1.026,0.336,50,49,56,49,163.33379310344827,118417.0,725.0,183.20406567630965,234318.0,1279.0,129.73076923076923,121428.0,936.0,111.89379900213828,156987.0,1403.0
20180316,2.276,1.414,2.338,0.756,50,49,56,49,172.75207756232686,124727.0,722.0,193.59577795152464,247609.0,1279.0,135.66346153846155,126981.0,936.0,116.87411095305832,164325.0,1406.0
20180317,2.616,1.326,2.604,0.806,50,49,56,49,139.38002773925103,100493.0,721.0,150.4862960062647,192171.0,1277.0,100.57572502685284,93636.0,931.0,88.79885877318117,124496.0,1402.0
20180318,1.716,0.922,1.562,0.564,50,49,56,49,97.781512605042,69816.0,714.0,108.59529411764706,138459.0,1275.0,68.91211146838157,64295.0,933.0,66.7068100358423,93056.0,1395.0
20180319,1.254,0.848,1.33,0.39,50,49,56,49,164.37777777777777,118352.0,720.0,184.8967136150235,236298.0,1278.0,129.68060021436227,120992.0,933.0,112.27402135231316,157745.0,1405.0
20180320,1.598,1.094,1.768,0.538,50,49,56,49,168.60111576011158,120887.0,717.0,192.70266040688577,246274.0,1278.0,134.15343347639484,125031.0,932.0,115.51107934238742,161600.0,1399.0
20180321,1.226,0.724,1.168,0.428,50,49,56,49,166.2236111111111,119681.0,720.0,188.60406885759,241036.0,1278.0,131.35508021390373,122817.0,935.0,114.6153846153846,160920.0,1404.0
20180322,2.08,1.274,2.126,0.666,50,49,56,49,168.07638888888889,121015.0,720.0,191.29287392325764,244281.0,1277.0,133.66524064171122,124977.0,935.0,113.99217638691324,160273.0,1406.0
20180323,2.372,1.368,2.444,0.854,50,49,56,49,171.72890733056707,124160.0,723.0,193.05007824726133,246718.0,1278.0,136.1153846153846,127404.0,936.0,116.80640569395018,164113.0,1405.0
20180324,1.94,1.168,1.9,0.718,50,49,56,49,135.9251040221914,98002.0,721.0,145.86206896551724,186120.0,1276.0,98.91016042780748,92481.0,935.0,88.91239316239316,124833.0,1404.0
20180325,2.158,1.036,1.674,0.72,50,49,56,49,105.55865921787708,75580.0,716.0,107.11450980392156,136571.0,1275.0,70.57188841201717,65773.0,932.0,65.66165951359085,91795.0,1398.0
20180326,2.146,1.242,2.154,0.674,50,49,56,49,165.87222222222223,119428.0,720.0,186.3029366306028,241076.0,1294.0,132.12299465240642,123535.0,935.0,114.27052105638828,160093.0,1401.0
20180327,2.352,1.53,2.3,0.802,50,49,56,49,166.24271844660194,119861.0,721.0,190.2567672080433,246002.0,1293.0,133.98068669527896,124870.0,932.0,115.7647897362794,162418.0,1403.0
20180328,2.986,1.718,2.962,1.012,50,49,56,49,169.71012482662968,122361.0,721.0,192.2242846094354,248546.0,1293.0,134.82799145299143,126199.0,936.0,116.02985074626864,163254.0,1407.0
20180329,2.972,1.79,2.788,1.062,50,49,56,49,168.07361111111112,121013.0,720.0,189.36813611755608,244853.0,1293.0,134.08788853161843,125104.0,933.0,114.46799431009956,160942.0,1406.0
20180330,3.376,1.886,3.14,1.168,50,49,56,49,171.75103734439833,124176.0,723.0,191.17246713070372,247186.0,1293.0,136.78051391862954,127753.0,934.0,117.431931575196,164757.0,1403.0
20180331,3.476,1.852,3.276,1.144,50,49,56,49,137.2503457814661,99232.0,723.0,148.38311180609853,189782.0,1279.0,100.6017130620985,93962.0,934.0,89.20827389443652,125070.0,1402.0
20180401,3.078,1.66,3.134,1.156,50,49,56,49,105.9163179916318,75942.0,717.0,108.4348508634223,138146.0,1274.0,72.65806451612903,67572.0,930.0,66.51004304160689,92715.0,1394.0
20180402,3.824,2.186,3.558,1.448,50,49,56,49,164.17891816920942,118373.0,721.0,185.0193648334624,238860.0,1291.0,131.18094218415416,122523.0,934.0,112.7761087267525,157661.0,1398.0
20180403,3.728,2.08,3.446,1.41,50,49,56,49,166.69764216366158,120189.0,721.0,189.31037151702787,244589.0,1292.0,132.94438502673796,124303.0,935.0,114.10699001426534,159978.0,1402.0
20180404,3.488,1.952,3.502,1.122,50,49,56,49,169.71070931849792,122022.0,719.0,190.2503863987635,246184.0,1294.0,133.9807486631016,125272.0,935.0,114.76709401709402,161133.0,1404.0
20180405,0.412,0.244,0.414,0.13,50,49,56,49,164.22083333333333,118239.0,720.0,183.68522815158545,237505.0,1293.0,130.73768736616702,122109.0,934.0,112.29843304843304,157667.0,1404.0
20180406,1.76,1.032,1.85,0.638,50,49,56,49,170.41298342541435,123379.0,724.0,189.9551777434312,245802.0,1294.0,136.25454545454545,127398.0,935.0,117.11324786324786,164427.0,1404.0
20180407,1.474,1.036,1.588,0.772,50,49,56,49,137.09583333333333,98709.0,720.0,149.1308777429467,190291.0,1276.0,101.15862808145766,94381.0,933.0,88.46556671449068,123321.0,1394.0
20180408,0.872,0.616,0.926,0.368,50,49,56,49,99.48885793871868,71433.0,718.0,103.68582677165354,131681.0,1270.0,69.48223896663079,64549.0,929.0,63.231046931407946,87575.0,1385.0
20180409,3.014,1.798,2.964,1.162,50,49,56,49,164.87047353760445,118377.0,718.0,185.241885625966,239703.0,1294.0,130.83279742765274,122067.0,933.0,112.97140814867764,158047.0,1399.0
20180410,2.62,1.564,2.508,0.928,50,49,56,49,166.9013888888889,120169.0,720.0,189.7179289026275,245495.0,1294.0,135.26774193548388,125799.0,930.0,114.30840455840456,160489.0,1404.0
20180411,3.192,1.968,3.12,1.204,50,49,56,49,167.80582524271844,120988.0,721.0,189.854714064915,245672.0,1294.0,134.15828877005347,125438.0,935.0,114.67498218104063,160889.0,1403.0
20180412,3.68,2.152,3.86,1.246,50,49,56,49,167.3245492371706,120641.0,721.0,189.6365042536736,245200.0,1293.0,133.5492505353319,124735.0,934.0,114.17689015691867,160076.0,1402.0
20180413,3.866,2.092,3.78,1.35,50,49,56,49,170.60555555555555,122836.0,720.0,189.0378670788253,244615.0,1294.0,134.9113247863248,126277.0,936.0,115.53764204545456,162677.0,1408.0
20180414,0.976,0.674,0.862,0.462,50,49,56,49,125.3240611961057,90108.0,719.0,132.6382145653876,169379.0,1277.0,91.81497326203208,85847.0,935.0,82.57590876692801,115854.0,1403.0
20180415,1.554,0.912,1.488,0.73,50,49,56,49,106.50277777777778,76682.0,720.0,111.09262166405024,141532.0,1274.0,74.4892703862661,69424.0,932.0,68.04721030042919,95130.0,1398.0
20180416,3.718,2.156,3.822,1.32,50,49,56,49,162.40745856353593,117583.0,724.0,185.89791183294665,240366.0,1293.0,131.16810344827587,121724.0,928.0,112.92105263157896,158767.0,1406.0
20180417,3.702,2.264,3.546,1.402,50,49,56,49,164.18005540166206,118538.0,722.0,189.45285935085008,245152.0,1294.0,131.7708779443255,123074.0,934.0,113.51104775481112,159256.0,1403.0
20180418,3.134,1.98,3.042,1.138,50,49,56,49,167.4364640883978,121224.0,724.0,189.1368909512761,244554.0,1293.0,133.59012875536482,124506.0,932.0,114.85317177476836,161139.0,1403.0
20180419,2.734,1.472,2.564,0.974,50,49,56,49,165.11789181692097,119050.0,721.0,187.061871616396,241871.0,1293.0,132.11682743837085,123265.0,933.0,112.44341637010676,157983.0,1405.0
20180420,3.874,2.008,3.524,1.346,50,49,56,49,168.46270718232043,121967.0,724.0,186.8454404945904,241778.0,1294.0,133.8653846153846,125298.0,936.0,116.13807829181496,163174.0,1405.0
20180421,4.66,2.214,4.204,1.584,50,49,56,49,135.5850622406639,98028.0,723.0,145.34558248631745,185897.0,1279.0,98.30620985010708,91818.0,934.0,88.22530206112296,124133.0,1407.0
20180422,1.216,0.606,1.056,0.54,50,49,56,49,96.63927576601672,69387.0,718.0,99.20643642072214,126389.0,1274.0,67.17096774193548,62469.0,930.0,62.35806916426513,86553.0,1388.0
20180423,0.144,0.086,0.114,0.036,50,49,56,49,155.82662968099862,112351.0,721.0,170.138437741686,219989.0,1293.0,122.7807486631016,114800.0,935.0,106.9679029957204,149969.0,1402.0
20180424,2.784,1.864,2.922,1.084,50,49,56,49,163.3607242339833,117293.0,718.0,184.6844547563805,238797.0,1293.0,130.7459807073955,121986.0,933.0,112.84483985765124,158547.0,1405.0
20180425,4.304,2.368,3.93,1.716,50,49,56,49,167.7994467496542,121319.0,723.0,191.0061823802164,247162.0,1294.0,135.9187165775401,127084.0,935.0,116.12579957356076,163389.0,1407.0
20180426,4.542,2.426,4.164,1.512,50,49,56,49,166.90581717451525,120506.0,722.0,189.0826893353941,244673.0,1294.0,133.40918803418805,124871.0,936.0,115.18874643874643,161725.0,1404.0
20180427,4.354,2.38,4.014,1.598,50,49,56,49,170.26896551724138,123445.0,725.0,189.23029366306028,244864.0,1294.0,135.30695187165776,126512.0,935.0,115.79347054648689,163153.0,1409.0
20180428,4.73,2.112,3.97,1.712,50,49,56,49,138.17524339360222,99348.0,719.0,146.84272300469485,187665.0,1278.0,101.2561629153269,94472.0,933.0,87.81960227272727,123650.0,1408.0
20180429,4.602,2.164,4.502,1.844,50,49,56,49,107.95251396648044,77294.0,716.0,109.73212882953652,139689.0,1273.0,74.47424892703863,69410.0,932.0,67.96137339055794,95010.0,1398.0
20180430,4.91,2.328,4.07,1.59,50,49,56,49,164.01933701657458,118750.0,724.0,185.4366306027821,239955.0,1294.0,130.56162915326902,121814.0,933.0,113.3724235963042,159515.0,1407.0
20180501,5.12,2.476,4.322,1.914,50,49,56,49,134.22772277227722,54228.0,404.0,162.70734463276835,143996.0,885.0,104.31262939958592,50383.0,483.0,96.7450248756219,77783.0,804.0
20180502,1.332,0.664,1.042,0.4,50,49,56,49,164.8913963328632,116908.0,709.0,185.79427687548332,240232.0,1293.0,133.016077170418,124104.0,933.0,114.05650929899856,159451.0,1398.0
20180503,3.034,1.936,3.074,1.34,50,49,56,49,163.45557122708038,115890.0,709.0,188.6140757927301,243878.0,1293.0,132.6043010752688,123322.0,930.0,115.78872234118488,162220.0,1401.0
20180504,4.418,2.422,4.01,1.662,50,49,56,49,172.37271448663853,122557.0,711.0,193.1322505800464,249720.0,1293.0,137.95401069518718,128987.0,935.0,117.8671875,165957.0,1408.0
20180505,5.342,2.266,4.46,1.632,50,49,56,49,119.20425531914894,84039.0,705.0,126.92006269592476,161950.0,1276.0,85.85407725321889,80016.0,932.0,77.810443490701,108779.0,1398.0
20180506,2.656,1.12,2.328,1.036,50,49,56,49,92.56011315417256,65440.0,707.0,95.2605633802817,121743.0,1278.0,65.58306538049304,61189.0,933.0,61.106017191977074,85304.0,1396.0
20180507,5.57,2.394,5.198,2.082,50,49,56,49,114.07943262411348,80426.0,705.0,123.10415035238842,157204.0,1277.0,82.58261802575107,76967.0,932.0,73.32618025751073,102510.0,1398.0
20180508,4.272,2.486,4.058,1.608,50,49,56,49,165.83309759547384,117244.0,707.0,189.21097372488407,244839.0,1294.0,134.9420600858369,125766.0,932.0,115.55888650963595,161898.0,1401.0
20180509,5.064,2.732,4.694,1.972,50,49,56,49,166.10845070422536,117937.0,710.0,190.08352668213456,245778.0,1293.0,134.67489270386267,125517.0,932.0,115.12339514978602,161403.0,1402.0
20180510,5.038,2.756,4.32,1.908,50,49,56,49,165.86779184247538,117932.0,711.0,190.2836166924266,246227.0,1294.0,134.3294117647059,125598.0,935.0,115.48179871520342,161790.0,1401.0
20180511,4.404,2.634,4.048,1.87,50,49,56,49,168.74540311173973,119303.0,707.0,191.17387944358572,247379.0,1294.0,135.63957219251336,126823.0,935.0,117.4068278805121,165074.0,1406.0
20180512,0.44,0.314,0.402,0.236,50,49,56,49,129.59122831689874,94461.15099519561,729.3397391901167,140.000078074263,182054.1921757035,1299.780370624571,100.139604976089,95937.56348661633,960.2594371997254,88.71937524847354,124972.6925188744,1408.6870281400138
20180513,4.602,2.186,4.358,1.838,50,49,56,49,106.49858757062148,75401.0,708.0,110.45990566037736,140505.0,1272.0,75.38882921589689,70187.0,931.0,66.68002863278454,93152.0,1397.0
20180514,4.924,2.754,4.502,1.786,50,49,56,49,162.89689265536722,115331.0,708.0,186.44976816074188,241266.0,1294.0,131.44812834224598,122904.0,935.0,113.21739130434784,158844.0,1403.0
20180515,4.282,2.69,4.374,1.766,50,49,56,49,168.5472496473907,119500.0,709.0,195.56491499227204,253061.0,1294.0,137.8053475935829,128848.0,935.0,117.40128296507484,164714.0,1403.0
20180516,1.152,0.656,1.138,0.394,50,49,56,49,159.56558533145275,113132.0,709.0,179.3390092879257,231706.0,1292.0,129.14102564102564,120876.0,936.0,110.94012829650748,155649.0,1403.0
20180517,0.508,0.342,0.504,0.168,50,49,56,49,159.8413597733711,112848.0,706.0,183.00386398763524,236807.0,1294.0,130.9422459893048,122431.0,935.0,111.33262108262107,156311.0,1404.0
20180518,2.306,1.39,2.194,0.936,50,49,56,49,170.55084745762713,120750.0,708.0,188.03248259860788,243126.0,1293.0,135.89636752136752,127199.0,936.0,119.26690391459074,167570.0,1405.0
