기준_날짜,광진구,동대문구,성동구,중랑구
20220324,9242,7428,7380,4710
20220325,8134,6500,6404,4068
20220326,6380,4722,4942,2938
20220327,9368,6384,7742,4350
20220328,10770,8472,8444,5356
20220329,11738,9044,9436,5640
20220330,8618,6894,6490,4274
20220331,11186,8744,9070,5448
20220401,12288,9020,10156,5722
20220402,11632,7562,9544,5666
20220403,12222,7758,10438,5774
20220404,12006,9434,9708,5956
20220405,12650,9682,10110,6116
20220406,12602,9654,10576,6412
20220407,12566,9826,10140,6310
20220408,14426,10694,12170,6624
20220409,15700,9814,14110,7042
20220410,15818,9892,14116,7056
20220411,15522,11320,13192,7512
20220412,12312,9384,10048,6208
20220413,8576,7402,7280,4872
20220414,12000,9752,9838,6474
20220415,14182,10774,11500,7142
20220416,14630,9594,11884,6880
20220417,13504,9210,11278,6576
20220418,13754,10664,11508,7388
20220419,14458,11322,11938,7540
20220420,14700,11436,12018,7738
20220421,14714,11516,12492,7554
20220422,12794,10244,9956,6702
20220423,16544,10216,12634,7378
20220424,14524,9258,11074,7274
20220425,12600,9662,10164,6588
20220426,14946,11728,12504,7856
20220427,15754,12052,12304,8298
20220428,15864,12124,12590,8094
20220429,11938,8842,9392,6040
20220430,13130,9406,9636,6926
20220501,12916,8772,10532,6314
20220502,15326,12156,12920,8364
20220503,16350,12562,13110,8608
20220504,14701,10960,12230,7251
20220505,18658,11340,14734,8406
20220506,17484,12252,14156,8506
20220507,15576,10440,11984,8096
20220508,8672,5954,6030,4728
20220509,16442,12942,13162,8504
20220510,16770,13442,13730,9160
20220511,16330,13404,13808,9208
20220512,17302,13436,13678,9156
20220513,16630,12854,13208,8896
20220514,15100,10604,11376,8416
20220515,15628,10186,11956,8200
20220516,16644,13166,13472,9038
20220517,17078,14030,13646,9648
20220518,15480,11800,11114,8400
20220519,16830,13618,13034,9386
20220520,17048,13556,14038,9780
20220521,16680,11608,12012,9336
20220522,16306,10986,11758,8958
20220523,16270,13238,13314,9314
20220524,17216,13548,13492,9982
20220525,12518,10456,10454,7218
20220526,16102,13006,13852,9142
20220527,17172,13910,13948,10056
20220528,17196,11754,11674,9254
20220529,15520,10144,10804,8318
20220530,15302,12402,11962,8286
20220531,17554,13914,13784,9630
20220601,17860,12968,13244,9490
20220602,16288,13628,13260,9594
20220603,17094,13366,13628,9994
20220604,16138,11052,11198,9018
20220605,11684,8892,9470,7066
20220606,14222,9160,10532,7492
20220607,17240,13152,13454,9882
20220608,17360,12902,13784,10106
20220609,13858,10532,10486,7758
20220610,14184,11600,11854,8246
20220611,16376,11116,11950,8992
20220612,15192,9842,11006,6708
20220613,16166,11996,12530,8492
20220614,14580,12110,12622,8576
20220615,6476,5636,5308,4174
20220616,15324,12682,12124,8894
20220617,17768,13412,13658,9500
20220618,15614,10936,11014,8518
20220619,15132,9894,10924,7950
20220620,17746,13576,14064,9744
20220621,17024,13406,13770,9768
20220622,17006,13554,13638,9976
20220623,5260,4608,3760,3104
20220624,14062,10658,11744,7570
20220625,14712,10372,10374,8202
20220626,12726,8302,8394,6854
20220627,8750,6912,7114,4780
20220628,11076,8386,8770,5562
20220629,5070,4140,4282,2632
20220630,1066,680,800,392
