일시,광진구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180322,2.08,248797.0,243715.0,4.9,0.6,11.6,0.0,0.0,5.0,2.2,61.5,0.0,0.0,50,121015.0,168.07638888888889,720.0
20180323,2.372,268336.0,262991.0,6.1,1.8,12.5,0.0,0.0,4.2,2.0,55.3,0.0,0.0,50,124160.0,171.72890733056707,723.0
20180324,1.94,232452.0,234688.0,7.6,4.0,13.1,0.0,0.0,4.4,2.1,61.9,0.0,0.0,50,98002.0,135.9251040221914,721.0
20180325,2.158,172648.0,176275.0,9.6,4.6,16.9,0.0,0.0,3.5,1.7,65.6,0.0,0.0,50,75580.0,105.55865921787708,716.0
20180326,2.146,240601.0,238034.0,11.0,5.3,18.1,0.0,0.0,4.4,1.9,64.5,0.0,5.68,50,119428.0,165.87222222222223,720.0
20180327,2.352,245311.0,241622.0,13.3,7.7,20.0,0.0,0.0,3.9,1.6,61.1,0.0,0.0,50,119861.0,166.24271844660194,721.0
20180328,2.986,251861.0,247545.0,14.0,9.4,19.0,0.0,0.0,4.8,2.2,66.4,0.0,0.0,50,122361.0,169.71012482662968,721.0
20180329,2.972,250735.0,245650.0,15.4,11.8,21.1,0.0,0.0,4.0,1.6,66.3,0.0,0.0,50,121013.0,168.07361111111112,720.0
20180330,3.376,270719.0,266198.0,14.8,9.8,21.9,0.0,0.0,3.8,1.7,55.6,0.0,0.0,50,124176.0,171.75103734439833,723.0
20180331,3.476,235350.0,236733.0,14.0,9.3,20.1,0.0,0.0,4.5,1.9,52.9,0.0,0.0,50,99232.0,137.2503457814661,723.0
20180401,3.078,167025.0,169559.0,15.6,11.7,18.5,0.0,0.0,3.5,1.5,68.8,0.0,0.0,50,75942.0,105.9163179916318,717.0
20180402,3.824,244829.0,242143.0,18.4,14.9,23.7,0.0,0.0,4.5,1.9,64.0,0.0,0.0,50,118373.0,164.17891816920942,721.0
20180403,3.728,248996.0,245029.0,17.8,14.9,21.2,2.92,0.1,4.4,2.1,72.9,0.0,0.0,50,120189.0,166.69764216366158,721.0
20180404,3.488,250758.0,245505.0,13.4,9.5,18.2,6.5,18.5,5.1,1.9,67.0,0.0,0.0,50,122022.0,169.71070931849792,719.0
20180405,0.412,240424.0,235330.0,7.6,6.7,9.5,19.67,10.5,3.5,2.0,90.6,0.0,0.0,50,118239.0,164.22083333333333,720.0
20180406,1.76,267447.0,263037.0,5.8,3.0,8.6,5.42,6.5,5.7,3.1,71.6,0.0,0.0,50,123379.0,170.41298342541435,724.0
20180407,1.474,241402.0,245084.0,4.2,1.4,8.6,2.58,0.2,6.0,4.1,45.5,0.0,0.0,50,98709.0,137.09583333333333,720.0
20180408,0.872,170269.0,173737.0,3.9,0.6,7.9,6.5,3.0,3.6,1.8,59.6,0.0,0.0,50,71433.0,99.48885793871868,718.0
20180409,3.014,245150.0,242337.0,7.9,0.1,15.4,0.0,0.0,2.9,1.1,57.9,0.0,1.9,50,118377.0,164.87047353760445,718.0
20180410,2.62,249439.0,246008.0,15.1,6.9,21.9,2.58,5.0,8.8,3.5,51.0,0.0,0.0,50,120169.0,166.9013888888889,720.0
20180411,3.192,249815.0,245552.0,12.6,8.7,17.3,0.0,0.0,6.1,3.0,49.4,0.0,0.0,50,120988.0,167.80582524271844,721.0
20180412,3.68,255167.0,250546.0,13.3,6.8,19.6,0.0,0.0,6.2,2.6,30.5,0.0,0.0,50,120641.0,167.3245492371706,721.0
20180413,3.866,268359.0,265255.0,14.6,8.3,19.3,0.0,0.0,3.7,1.3,22.9,0.0,0.0,50,122836.0,170.60555555555555,720.0
20180414,0.976,215770.0,217415.0,9.0,7.5,14.8,13.33,9.0,4.1,1.8,78.8,0.0,0.0,50,90108.0,125.3240611961057,719.0
20180415,1.554,174864.0,177906.0,9.5,5.6,14.2,0.0,0.0,4.9,2.4,65.5,0.0,0.0,50,76682.0,106.50277777777778,720.0
20180416,3.718,241225.0,239226.0,11.6,4.9,18.8,0.0,0.0,4.7,1.6,41.9,0.0,0.0,50,117583.0,162.40745856353593,724.0
20180417,3.702,244853.0,241157.0,12.9,6.8,20.1,0.0,0.0,5.5,1.9,37.9,0.0,0.0,50,118538.0,164.18005540166206,722.0
20180418,3.134,245472.0,241596.0,12.4,6.2,19.3,0.0,0.0,3.9,1.9,35.4,0.0,0.0,50,121224.0,167.4364640883978,724.0
20180419,2.734,244799.0,239413.0,14.0,7.4,20.5,0.0,0.0,5.1,1.9,38.8,0.0,0.0,50,119050.0,165.11789181692097,721.0
20180420,3.874,257550.0,255651.0,18.4,11.0,26.3,0.0,0.0,3.6,1.3,46.0,0.0,0.0,50,121967.0,168.46270718232043,724.0
20180421,4.66,230610.0,232792.0,18.7,12.3,25.6,0.0,0.0,4.6,1.9,32.0,0.0,0.0,50,98028.0,135.5850622406639,723.0
20180422,1.216,155718.0,154665.0,15.5,10.7,21.0,14.5,15.5,2.9,1.1,57.4,0.0,0.0,50,69387.0,96.63927576601672,718.0
20180423,0.144,219014.0,216038.0,9.3,8.4,10.7,23.42,59.0,3.0,2.2,93.9,0.0,0.0,50,112351.0,155.82662968099862,721.0
20180424,2.784,236534.0,231939.0,12.1,8.9,16.1,5.75,3.0,2.8,1.4,63.3,0.0,0.0,50,117293.0,163.3607242339833,718.0
20180425,4.304,248958.0,244055.0,14.6,5.7,23.3,0.0,0.0,4.4,1.5,37.8,0.0,0.0,50,121319.0,167.7994467496542,723.0
20180426,4.542,256176.0,249989.0,14.9,10.0,22.1,0.0,0.0,5.1,2.1,51.9,0.0,0.0,50,120506.0,166.90581717451525,722.0
20180427,4.354,277487.0,272692.0,15.7,9.7,23.3,0.0,0.0,3.8,1.7,52.9,0.0,0.0,50,123445.0,170.26896551724138,725.0
20180428,4.73,253164.0,256110.0,15.4,10.5,21.7,0.0,0.0,4.8,2.0,49.0,0.0,0.0,50,99348.0,138.17524339360222,719.0
20180429,4.602,184988.0,187250.0,16.2,9.4,22.9,0.0,0.0,4.3,1.9,43.1,0.0,0.0,50,77294.0,107.95251396648044,716.0
20180430,4.91,251130.0,249981.0,19.2,14.1,25.0,0.0,0.0,3.6,1.6,61.6,0.0,0.0,50,118750.0,164.01933701657458,724.0
20180501,5.12,222332.0,218795.0,20.4,17.8,23.3,1.42,0.0,4.0,1.5,72.8,0.0,0.0,50,54228.0,134.22772277227722,404.0
20180502,1.332,240224.0,236040.0,15.1,8.7,19.7,14.83,12.0,5.2,1.9,90.4,0.0,0.0,50,116908.0,164.8913963328632,709.0
20180503,3.034,255068.0,248994.0,11.2,6.9,14.7,3.62,1.0,5.3,2.7,62.4,0.0,0.0,50,115890.0,163.45557122708038,709.0
20180504,4.418,293215.0,294293.0,14.1,8.8,20.0,0.0,0.0,5.9,2.7,45.5,0.0,0.0,50,122557.0,172.37271448663853,711.0
20180505,5.342,242082.0,249935.0,18.3,11.6,24.6,0.0,0.0,4.8,2.6,46.8,0.0,0.0,50,84039.0,119.20425531914894,705.0
20180506,2.656,154542.0,154961.0,16.6,15.0,20.7,13.83,22.0,3.9,1.1,86.4,0.0,0.0,50,65440.0,92.56011315417256,707.0
20180507,5.57,206993.0,204966.0,19.2,14.0,25.5,0.0,0.0,3.7,1.2,60.3,0.0,0.0,50,80426.0,114.07943262411348,705.0
20180508,4.272,247768.0,245093.0,17.5,11.6,22.9,0.0,0.0,2.7,1.7,50.9,0.0,0.0,50,117244.0,165.83309759547384,707.0
20180509,5.064,253900.0,251188.0,15.7,9.2,21.8,0.0,0.0,3.6,1.7,50.4,0.0,0.0,50,117937.0,166.10845070422536,710.0
20180510,5.038,258670.0,254136.0,15.4,11.3,21.4,0.0,0.0,5.4,2.3,67.4,0.0,0.0,50,117932.0,165.86779184247538,711.0
20180511,4.404,278850.0,272865.0,16.1,11.9,21.3,0.0,0.0,3.5,1.8,59.8,0.0,0.0,50,119303.0,168.74540311173973,707.0
20180512,0.44,210568.0,212442.0,14.2,11.8,16.1,21.0,32.0,2.9,0.9,89.3,0.0,0.0,50,94461.1509951956,129.59122831689874,729.3397391901167
20180513,4.602,183593.0,186967.0,15.8,12.7,20.0,8.25,0.5,3.9,1.9,82.5,0.0,1.58,50,75401.0,106.49858757062148,708.0
20180514,4.924,246224.0,243912.0,18.2,11.9,24.5,0.0,0.0,3.4,1.4,71.4,0.0,0.0,50,115331.0,162.89689265536722,708.0
20180515,4.282,266508.0,265401.0,23.2,15.4,29.3,0.75,0.0,3.4,1.1,56.4,0.0,0.0,50,119500.0,168.5472496473907,709.0
20180516,1.152,235392.0,230879.0,22.3,21.8,24.4,17.07,45.0,6.1,1.9,93.8,0.0,0.0,50,113132.0,159.56558533145275,709.0
20180517,0.508,239916.0,232224.0,20.9,18.8,23.5,19.75,83.0,8.0,1.4,97.0,0.0,0.33,50,112848.0,159.8413597733711,706.0
20180518,2.306,269965.0,265553.0,16.3,12.2,19.3,13.33,6.5,2.7,1.3,86.8,0.0,0.0,50,120750.0,170.55084745762713,708.0
20180519,5.662,260494.0,263285.0,17.6,10.3,24.7,0.0,0.0,2.9,1.5,47.5,0.0,0.0,50,98196.0,138.30422535211267,710.0
20180520,4.922,192001.0,193621.0,17.0,11.5,22.6,0.0,0.0,2.8,1.4,32.1,0.0,0.0,50,74549.0,105.74326241134752,705.0
20180521,5.644,258271.0,259558.0,17.8,11.3,23.7,0.0,0.0,3.5,1.4,43.9,0.0,0.0,50,113280.0,160.22630834512023,707.0
20180522,2.184,185658.0,184965.0,18.1,15.4,23.2,9.5,12.5,3.1,1.1,75.5,0.0,0.0,50,80381.0,113.6930693069307,707.0
20180523,4.458,248807.0,245443.0,17.3,13.6,23.3,3.5,6.5,5.0,2.5,57.1,0.0,0.0,50,116346.0,164.79603399433427,706.0
20180524,4.884,254290.0,248784.0,18.3,11.2,23.7,0.0,0.0,5.4,2.2,47.4,0.0,0.0,50,117196.0,165.5310734463277,708.0
20180525,4.924,294392.0,289736.0,19.7,13.8,26.2,0.0,0.0,4.5,1.8,47.4,0.0,0.0,50,119987.0,169.47316384180792,708.0
20180526,5.092,247342.0,250864.0,21.8,14.0,29.6,0.0,0.0,4.0,1.4,50.1,0.0,0.0,50,97678.0,138.3541076487252,706.0
20180527,5.196,181262.0,184238.0,20.3,17.3,24.7,0.0,0.0,4.1,1.7,47.4,0.0,0.0,50,73549.0,103.88276836158192,708.0
20180528,5.234,243197.0,240656.0,22.3,16.2,29.1,0.0,0.0,4.3,1.6,49.8,0.0,0.0,50,115123.0,162.60310734463278,708.0
20180529,3.556,243114.0,238936.0,21.4,19.1,25.9,3.0,1.0,4.4,1.8,69.3,0.0,0.0,50,116530.0,164.1267605633803,710.0
20180530,5.07,246629.0,243172.0,20.2,15.8,24.7,2.25,0.0,4.4,1.9,69.8,0.0,0.0,50,117094.0,164.92112676056337,710.0
20180531,5.182,247292.0,242499.0,20.9,14.2,27.6,0.0,0.0,3.6,1.9,58.9,0.0,0.0,50,116647.0,164.29154929577464,710.0
20180601,5.338,265346.0,261915.0,23.8,17.5,30.2,0.0,0.0,4.3,1.9,50.4,0.0,0.0,50,119131.0,168.74079320113316,706.0
20180602,5.59,232116.0,233089.0,23.4,17.6,30.1,0.0,0.0,4.5,2.0,44.5,0.0,0.0,50,94432.0,133.00281690140844,710.0
20180603,5.24,170775.0,172500.0,24.0,16.9,30.8,0.0,0.0,4.2,1.6,39.4,0.0,0.0,50,72931.0,103.4482269503546,705.0
20180604,5.598,238323.0,235996.0,22.6,18.9,27.5,0.0,0.0,4.4,1.9,50.1,0.0,0.0,50,114199.0,161.52616690240453,707.0
20180605,5.364,253259.0,251408.0,23.7,17.7,29.2,0.0,0.0,4.0,1.7,52.5,0.0,0.0,50,118122.0,166.60366713681242,709.0
20180606,5.274,184435.0,182749.0,23.0,18.4,27.9,0.0,0.0,4.0,2.0,62.9,0.0,0.0,50,81276.0,115.44886363636364,704.0
20180607,5.372,246739.0,241433.0,22.2,17.8,29.4,0.0,0.0,4.1,2.0,69.3,0.0,0.0,50,117570.0,166.2942008486563,707.0
20180608,5.678,260012.0,257555.0,21.9,18.5,27.0,0.0,0.0,3.7,2.1,68.0,0.0,0.0,50,119859.0,168.57805907172997,711.0
20180609,4.358,218472.0,219833.0,23.7,18.9,30.1,5.0,0.5,3.5,1.4,60.6,0.0,0.0,50,93928.0,132.29295774647886,710.0
20180610,4.836,160458.0,161596.0,21.3,18.3,24.9,4.67,0.5,2.9,1.4,59.9,0.0,0.0,50,28475.0,95.55369127516778,298.0
20180611,4.37,234421.0,231730.0,20.2,18.0,23.9,5.42,5.0,4.3,1.4,67.3,0.0,0.0,50,114519.0,162.20821529745044,706.0
20180612,5.744,248556.0,246097.0,21.3,16.6,27.1,1.08,0.0,4.7,1.7,65.5,0.0,0.0,50,116865.0,165.7659574468085,705.0
20180613,6.256,173359.0,172373.0,22.0,18.3,27.0,0.33,0.0,5.1,1.5,64.0,0.0,0.0,50,84139.0,118.33895921237692,711.0
20180614,4.038,237316.0,232316.0,21.6,18.8,25.1,7.08,29.0,3.7,1.1,74.9,0.0,0.0,50,94461.1509951956,129.59122831689874,729.3397391901167
20180615,5.622,252931.0,251565.0,21.7,17.2,27.0,4.17,16.5,2.7,1.4,60.8,0.0,0.0,50,118032.0,165.77528089887642,712.0
20180616,6.152,215211.0,217081.0,22.5,16.3,28.7,0.0,0.0,2.8,1.4,56.4,0.0,0.0,50,92485.0,130.0773558368495,711.0
20180617,5.798,158773.0,158770.0,22.8,18.9,27.5,0.0,0.0,3.9,1.3,66.9,0.0,0.0,50,70553.0,99.7920792079208,707.0
20180618,4.672,233364.0,231463.0,24.8,19.9,30.8,0.0,0.0,4.0,1.5,54.9,0.0,0.0,50,114014.0,160.13202247191012,712.0
20180619,5.656,236232.0,231469.0,22.4,19.1,27.2,0.0,0.0,3.6,1.8,61.3,0.0,0.0,50,114433.0,162.3163120567376,705.0
20180620,5.674,240885.0,237257.0,22.7,19.1,28.4,0.0,0.0,4.2,2.3,68.1,0.0,0.0,50,116955.0,164.72535211267606,710.0
20180621,6.198,247822.0,243031.0,23.7,19.4,28.7,0.0,0.0,4.4,2.2,60.1,0.0,0.0,50,116931.0,164.92383638928067,709.0
20180622,6.108,261808.0,259713.0,25.0,18.2,32.0,0.0,0.0,4.3,1.8,45.1,0.0,0.0,50,119755.0,168.43178621659635,711.0
20180623,5.684,228184.0,229907.0,24.5,20.9,28.9,0.0,0.0,4.4,2.0,50.6,0.0,0.0,50,93806.0,133.05815602836878,705.0
20180624,5.258,165210.0,164600.0,25.2,20.1,32.1,0.0,0.0,3.7,1.9,62.8,0.0,0.0,50,70301.0,100.00142247510668,703.0
