일시,성동구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180212,0.716,183996.0,185063.0,-5.8,-9.6,-1.8,2.17,0.0,5.2,2.7,40.8,0.0,0.0,56,118910.0,127.0405982905983,936.0
20180213,0.892,187993.0,187369.0,-0.8,-7.4,4.3,0.0,0.0,5.6,2.7,54.5,0.0,0.0,56,121423.0,129.72542735042734,936.0
20180214,0.994,181512.0,176805.0,3.5,-0.7,8.7,0.0,0.0,5.4,2.6,51.0,0.0,0.0,56,117735.0,126.32510729613732,932.0
20180215,0.488,64574.0,58714.0,-0.7,-3.7,4.0,0.0,0.0,4.4,2.5,28.0,0.0,0.0,56,46591.0,50.36864864864865,925.0
20180216,0.398,51338.0,52697.0,-1.1,-5.5,4.9,0.0,0.0,5.5,2.1,40.1,0.0,0.0,56,34929.0,38.17377049180328,915.0
20180217,0.442,68251.0,72370.0,-3.0,-7.1,1.4,0.0,0.0,5.5,2.9,25.6,0.0,0.0,56,45390.0,48.91163793103448,928.0
20180218,0.568,78311.0,83780.0,-0.4,-4.9,5.2,0.0,0.0,3.5,1.3,26.9,0.0,0.0,56,56814.0,61.15608180839613,929.0
20180219,1.22,175016.0,177912.0,1.8,-1.9,6.8,0.0,0.0,3.0,1.5,48.6,0.0,0.0,56,110273.0,117.93903743315508,935.0
20180220,1.238,188070.0,189431.0,0.9,-2.4,5.5,0.0,0.0,5.8,2.5,41.0,0.0,0.0,56,117772.0,125.95935828877003,935.0
20180221,1.086,192188.0,193085.0,-0.9,-4.5,4.4,0.0,0.0,5.2,2.3,31.5,0.0,0.0,56,119049.0,127.46145610278371,934.0
20180222,1.134,195289.0,198099.0,1.3,-3.9,5.4,0.67,0.4,5.2,2.2,59.0,0.4,0.0,56,118875.0,127.13903743315508,935.0
20180223,0.896,198028.0,199730.0,4.2,-0.3,8.6,2.75,3.7,5.0,1.9,81.1,3.7,0.0,56,120824.0,129.2235294117647,935.0
20180224,0.808,142876.0,141526.0,2.4,-1.1,7.2,0.0,0.0,3.9,2.1,49.4,0.0,0.0,56,89986.0,96.55150214592274,932.0
20180225,0.932,96270.0,96187.0,1.9,-1.6,7.9,0.0,0.0,3.8,1.7,40.6,0.0,0.0,56,64860.0,69.51768488745981,933.0
20180226,1.448,189605.0,191261.0,3.1,-3.2,10.4,0.0,0.0,3.6,1.4,43.1,0.0,0.0,56,117169.0,125.85284640171858,931.0
20180227,1.3,189151.0,191178.0,4.2,0.6,6.9,0.0,0.0,1.8,0.9,48.8,0.0,0.0,56,118538.0,126.6431623931624,936.0
20180228,0.554,194249.0,195546.0,4.6,1.8,7.8,11.25,25.0,3.7,2.0,73.3,0.0,0.0,56,119445.0,127.47598719316969,937.0
20180301,0.66,109315.0,109984.0,-0.2,-4.3,3.0,4.25,0.5,6.9,3.8,61.9,0.0,0.0,56,73200.0,78.28877005347593,935.0
20180302,1.196,192790.0,193822.0,-0.7,-6.7,5.4,0.0,0.0,3.3,1.5,34.0,0.0,0.0,56,123300.0,131.73076923076923,936.0
20180303,1.894,136623.0,135989.0,7.9,-0.1,16.2,1.17,0.0,3.9,1.5,38.1,0.0,0.0,56,88072.0,94.29550321199144,934.0
20180304,0.628,91262.0,92706.0,9.8,7.6,11.9,13.75,11.5,3.5,1.2,89.1,0.0,0.0,56,63471.0,68.32185145317546,929.0
20180305,1.378,203631.0,204201.0,5.5,1.3,11.4,9.92,3.5,3.5,2.0,67.5,0.0,0.0,56,123349.0,131.924064171123,935.0
20180306,1.87,207299.0,207837.0,4.5,-1.1,10.9,0.0,0.0,3.7,1.6,46.8,0.0,0.0,56,124126.0,132.89721627408994,934.0
20180307,1.612,207316.0,207924.0,6.4,2.2,10.7,3.5,0.5,3.2,1.8,54.0,0.0,0.0,56,124913.0,133.88317256162915,933.0
20180308,1.232,204820.0,205191.0,4.6,2.7,9.7,10.25,4.0,4.5,1.9,76.0,0.0,0.0,56,123285.0,131.5741728922092,937.0
20180309,1.732,210379.0,211165.0,4.5,1.4,9.6,0.0,0.0,4.2,1.5,63.3,0.0,0.0,56,125967.0,134.29317697228146,938.0
20180310,1.602,145186.0,144619.0,4.6,0.7,9.7,0.0,0.0,5.9,2.0,65.8,0.0,0.0,56,91640.0,98.32618025751071,932.0
20180311,1.886,98514.0,99215.0,6.4,2.7,12.2,0.0,0.0,4.2,2.0,51.3,0.0,0.0,56,66668.0,71.53218884120172,932.0
20180312,2.148,202742.0,203836.0,8.0,2.2,15.5,0.0,0.0,4.2,1.4,45.8,0.0,0.0,56,121814.0,130.28235294117647,935.0
20180313,2.47,208115.0,208504.0,12.4,5.2,18.8,0.0,0.0,4.3,1.8,60.5,0.0,0.0,56,123833.0,132.44171122994652,935.0
20180314,3.294,211688.0,212932.0,17.0,13.6,22.1,0.0,0.0,5.0,2.3,58.8,0.0,0.0,56,126105.0,134.5837780149413,937.0
20180315,1.026,202878.0,203653.0,12.4,8.4,16.6,13.5,27.0,4.8,2.1,92.1,0.0,0.0,56,121428.0,129.73076923076923,936.0
20180316,2.338,212996.0,213992.0,7.1,3.6,12.2,0.0,0.0,3.1,1.9,46.9,0.0,0.0,56,126981.0,135.66346153846155,936.0
20180317,2.604,149516.0,147746.0,6.6,0.5,14.0,0.0,0.0,3.8,1.5,48.0,0.0,0.0,56,93636.0,100.57572502685284,931.0
20180318,1.562,103135.0,103357.0,8.2,5.4,12.5,7.42,0.5,2.9,1.2,55.9,0.0,0.0,56,64295.0,68.91211146838157,933.0
20180319,1.33,201406.0,202560.0,8.0,6.2,10.4,13.5,1.0,4.2,2.5,64.5,0.0,0.0,56,120992.0,129.68060021436227,933.0
20180320,1.768,207936.0,209140.0,4.7,1.6,9.1,0.0,0.0,4.8,3.4,39.9,0.0,0.0,56,125031.0,134.15343347639484,932.0
20180321,1.168,204838.0,205772.0,2.1,1.1,5.3,8.33,1.0,3.3,1.7,64.1,0.0,0.0,56,122817.0,131.35508021390373,935.0
20180322,2.126,209414.0,210211.0,4.9,0.6,11.6,0.0,0.0,5.0,2.2,61.5,0.0,0.0,56,124977.0,133.66524064171122,935.0
20180323,2.444,213475.0,213108.0,6.1,1.8,12.5,0.0,0.0,4.2,2.0,55.3,0.0,0.0,56,127404.0,136.1153846153846,936.0
20180324,1.9,147672.0,147258.0,7.6,4.0,13.1,0.0,0.0,4.4,2.1,61.9,0.0,0.0,56,92481.0,98.91016042780748,935.0
20180325,1.674,97867.0,99201.0,9.6,4.6,16.9,0.0,0.0,3.5,1.7,65.6,0.0,0.0,56,65773.0,70.57188841201717,932.0
20180326,2.154,202973.0,204186.0,11.0,5.3,18.1,0.0,0.0,4.4,1.9,64.5,0.0,5.68,56,123535.0,132.12299465240642,935.0
20180327,2.3,208767.0,209618.0,13.3,7.7,20.0,0.0,0.0,3.9,1.6,61.1,0.0,0.0,56,124870.0,133.98068669527896,932.0
20180328,2.962,211986.0,212803.0,14.0,9.4,19.0,0.0,0.0,4.8,2.2,66.4,0.0,0.0,56,126199.0,134.82799145299143,936.0
20180329,2.788,208287.0,208869.0,15.4,11.8,21.1,0.0,0.0,4.0,1.6,66.3,0.0,0.0,56,125104.0,134.08788853161843,933.0
20180330,3.14,215112.0,214851.0,14.8,9.8,21.9,0.0,0.0,3.8,1.7,55.6,0.0,0.0,56,127753.0,136.78051391862954,934.0
20180331,3.276,144774.0,142552.0,14.0,9.3,20.1,0.0,0.0,4.5,1.9,52.9,0.0,0.0,56,93962.0,100.6017130620985,934.0
20180401,3.134,96601.0,97768.0,15.6,11.7,18.5,0.0,0.0,3.5,1.5,68.8,0.0,0.0,56,67572.0,72.65806451612903,930.0
20180402,3.558,203040.0,204524.0,18.4,14.9,23.7,0.0,0.0,4.5,1.9,64.0,0.0,0.0,56,122523.0,131.18094218415416,934.0
20180403,3.446,207806.0,208468.0,17.8,14.9,21.2,2.92,0.1,4.4,2.1,72.9,0.0,0.0,56,124303.0,132.94438502673796,935.0
20180404,3.502,208747.0,209933.0,13.4,9.5,18.2,6.5,18.5,5.1,1.9,67.0,0.0,0.0,56,125272.0,133.9807486631016,935.0
20180405,0.414,204076.0,205462.0,7.6,6.7,9.5,19.67,10.5,3.5,2.0,90.6,0.0,0.0,56,122109.0,130.73768736616702,934.0
20180406,1.85,212285.0,212802.0,5.8,3.0,8.6,5.42,6.5,5.7,3.1,71.6,0.0,0.0,56,127398.0,136.25454545454545,935.0
20180407,1.588,147945.0,146993.0,4.2,1.4,8.6,2.58,0.2,6.0,4.1,45.5,0.0,0.0,56,94381.0,101.15862808145766,933.0
20180408,0.926,97416.0,98156.0,3.9,0.6,7.9,6.5,3.0,3.6,1.8,59.6,0.0,0.0,56,64549.0,69.48223896663079,929.0
20180409,2.964,202675.0,203831.0,7.9,0.1,15.4,0.0,0.0,2.9,1.1,57.9,0.0,1.9,56,122067.0,130.83279742765274,933.0
20180410,2.508,209327.0,210610.0,15.1,6.9,21.9,2.58,5.0,8.8,3.5,51.0,0.0,0.0,56,125799.0,135.26774193548388,930.0
20180411,3.12,209555.0,211172.0,12.6,8.7,17.3,0.0,0.0,6.1,3.0,49.4,0.0,0.0,56,125438.0,134.15828877005347,935.0
20180412,3.86,208397.0,209374.0,13.3,6.8,19.6,0.0,0.0,6.2,2.6,30.5,0.0,0.0,56,124735.0,133.5492505353319,934.0
20180413,3.78,209939.0,210086.0,14.6,8.3,19.3,0.0,0.0,3.7,1.3,22.9,0.0,0.0,56,126277.0,134.9113247863248,936.0
20180414,0.862,134458.0,132581.0,9.0,7.5,14.8,13.33,9.0,4.1,1.8,78.8,0.0,0.0,56,85847.0,91.81497326203208,935.0
20180415,1.488,104694.0,105013.0,9.5,5.6,14.2,0.0,0.0,4.9,2.4,65.5,0.0,0.0,56,69424.0,74.4892703862661,932.0
20180416,3.822,202551.0,204009.0,11.6,4.9,18.8,0.0,0.0,4.7,1.6,41.9,0.0,0.0,56,121724.0,131.16810344827587,928.0
20180417,3.546,207120.0,207741.0,12.9,6.8,20.1,0.0,0.0,5.5,1.9,37.9,0.0,0.0,56,123074.0,131.7708779443255,934.0
20180418,3.042,206128.0,207115.0,12.4,6.2,19.3,0.0,0.0,3.9,1.9,35.4,0.0,0.0,56,124506.0,133.59012875536482,932.0
20180419,2.564,205099.0,205698.0,14.0,7.4,20.5,0.0,0.0,5.1,1.9,38.8,0.0,0.0,56,123265.0,132.11682743837085,933.0
20180420,3.524,205742.0,206511.0,18.4,11.0,26.3,0.0,0.0,3.6,1.3,46.0,0.0,0.0,56,125298.0,133.8653846153846,936.0
20180421,4.204,143365.0,142170.0,18.7,12.3,25.6,0.0,0.0,4.6,1.9,32.0,0.0,0.0,56,91818.0,98.30620985010708,934.0
20180422,1.056,89744.0,91326.0,15.5,10.7,21.0,14.5,15.5,2.9,1.1,57.4,0.0,0.0,56,62469.0,67.17096774193548,930.0
20180423,0.114,191214.0,192222.0,9.3,8.4,10.7,23.42,59.0,3.0,2.2,93.9,0.0,0.0,56,114800.0,122.7807486631016,935.0
20180424,2.922,203942.0,203476.0,12.1,8.9,16.1,5.75,3.0,2.8,1.4,63.3,0.0,0.0,56,121986.0,130.7459807073955,933.0
20180425,3.93,210148.0,211168.0,14.6,5.7,23.3,0.0,0.0,4.4,1.5,37.8,0.0,0.0,56,127084.0,135.9187165775401,935.0
20180426,4.164,208782.0,209543.0,14.9,10.0,22.1,0.0,0.0,5.1,2.1,51.9,0.0,0.0,56,124871.0,133.40918803418805,936.0
20180427,4.014,214058.0,213859.0,15.7,9.7,23.3,0.0,0.0,3.8,1.7,52.9,0.0,0.0,56,126512.0,135.30695187165776,935.0
20180428,3.97,151977.0,150251.0,15.4,10.5,21.7,0.0,0.0,4.8,2.0,49.0,0.0,0.0,56,94472.0,101.2561629153269,933.0
20180429,4.502,101545.0,102714.0,16.2,9.4,22.9,0.0,0.0,4.3,1.9,43.1,0.0,0.0,56,69410.0,74.47424892703863,932.0
20180430,4.07,202643.0,203819.0,19.2,14.1,25.0,0.0,0.0,3.6,1.6,61.6,0.0,0.0,56,121814.0,130.56162915326902,933.0
20180501,4.322,152246.0,152278.0,20.4,17.8,23.3,1.42,0.0,4.0,1.5,72.8,0.0,0.0,56,50383.0,104.31262939958592,483.0
20180502,1.042,205212.0,206284.0,15.1,8.7,19.7,14.83,12.0,5.2,1.9,90.4,0.0,0.0,56,124104.0,133.016077170418,933.0
20180503,3.074,208149.0,209041.0,11.2,6.9,14.7,3.62,1.0,5.3,2.7,62.4,0.0,0.0,56,123322.0,132.6043010752688,930.0
20180504,4.01,219280.0,217982.0,14.1,8.8,20.0,0.0,0.0,5.9,2.7,45.5,0.0,0.0,56,128987.0,137.95401069518718,935.0
20180505,4.46,125389.0,121308.0,18.3,11.6,24.6,0.0,0.0,4.8,2.6,46.8,0.0,0.0,56,80016.0,85.85407725321889,932.0
20180506,2.328,88875.0,89544.0,16.6,15.0,20.7,13.83,22.0,3.9,1.1,86.4,0.0,0.0,56,61189.0,65.58306538049304,933.0
20180507,5.198,114762.0,119355.0,19.2,14.0,25.5,0.0,0.0,3.7,1.2,60.3,0.0,0.0,56,76967.0,82.58261802575107,932.0
20180508,4.058,207474.0,209305.0,17.5,11.6,22.9,0.0,0.0,2.7,1.7,50.9,0.0,0.0,56,125766.0,134.9420600858369,932.0
20180509,4.694,210378.0,211826.0,15.7,9.2,21.8,0.0,0.0,3.6,1.7,50.4,0.0,0.0,56,125517.0,134.67489270386267,932.0
20180510,4.32,211888.0,212681.0,15.4,11.3,21.4,0.0,0.0,5.4,2.3,67.4,0.0,0.0,56,125598.0,134.3294117647059,935.0
20180511,4.048,214868.0,215597.0,16.1,11.9,21.3,0.0,0.0,3.5,1.8,59.8,0.0,0.0,56,126823.0,135.63957219251336,935.0
20180512,0.402,139853.0,139826.0,14.2,11.8,16.1,21.0,32.0,2.9,0.9,89.3,0.0,0.0,56,95937.56348661632,100.139604976089,960.2594371997254
20180513,4.358,103620.0,104770.0,15.8,12.7,20.0,8.25,0.5,3.9,1.9,82.5,0.0,1.58,56,70187.0,75.38882921589689,931.0
20180514,4.502,205855.0,207249.0,18.2,11.9,24.5,0.0,0.0,3.4,1.4,71.4,0.0,0.0,56,122904.0,131.44812834224598,935.0
20180515,4.374,209838.0,211864.0,23.2,15.4,29.3,0.75,0.0,3.4,1.1,56.4,0.0,0.0,56,128848.0,137.8053475935829,935.0
20180516,1.138,201424.0,202301.0,22.3,21.8,24.4,17.07,45.0,6.1,1.9,93.8,0.0,0.0,56,120876.0,129.14102564102564,936.0
20180517,0.504,203948.0,204733.0,20.9,18.8,23.5,19.75,83.0,8.0,1.4,97.0,0.0,0.33,56,122431.0,130.9422459893048,935.0
20180518,2.194,214163.0,213783.0,16.3,12.2,19.3,13.33,6.5,2.7,1.3,86.8,0.0,0.0,56,127199.0,135.89636752136752,936.0
20180519,5.072,156003.0,154118.0,17.6,10.3,24.7,0.0,0.0,2.9,1.5,47.5,0.0,0.0,56,98097.0,104.80448717948718,936.0
20180520,4.674,107205.0,107629.0,17.0,11.5,22.6,0.0,0.0,2.8,1.4,32.1,0.0,0.0,56,70336.0,75.46781115879828,932.0
20180521,5.138,197631.0,197162.0,17.8,11.3,23.7,0.0,0.0,3.5,1.4,43.9,0.0,0.0,56,117155.0,125.1655982905983,936.0
20180522,2.184,113575.0,115362.0,18.1,15.4,23.2,9.5,12.5,3.1,1.1,75.5,0.0,0.0,56,75119.0,80.77311827956989,930.0
20180523,4.346,212144.0,215548.0,17.3,13.6,23.3,3.5,6.5,5.0,2.5,57.1,0.0,0.0,56,126849.0,135.66737967914435,935.0
20180524,4.36,215936.0,220068.0,18.3,11.2,23.7,0.0,0.0,5.4,2.2,47.4,0.0,0.0,56,126959.0,135.63995726495727,936.0
20180525,4.308,219873.0,224131.0,19.7,13.8,26.2,0.0,0.0,4.5,1.8,47.4,0.0,0.0,56,129710.0,138.57905982905982,936.0
20180526,4.688,156820.0,153853.0,21.8,14.0,29.6,0.0,0.0,4.0,1.4,50.1,0.0,0.0,56,97004.0,103.7475935828877,935.0
20180527,4.612,102485.0,104070.0,20.3,17.3,24.7,0.0,0.0,4.1,1.7,47.4,0.0,0.0,56,69362.0,74.50268528464017,931.0
20180528,4.728,204211.0,204760.0,22.3,16.2,29.1,0.0,0.0,4.3,1.6,49.8,0.0,0.0,56,123748.0,132.63451232583066,933.0
20180529,3.568,205469.0,206279.0,21.4,19.1,25.9,3.0,1.0,4.4,1.8,69.3,0.0,0.0,56,124426.0,133.36120042872454,933.0
20180530,4.65,208566.0,209865.0,20.2,15.8,24.7,2.25,0.0,4.4,1.9,69.8,0.0,0.0,56,126219.0,135.28295819935693,933.0
20180531,4.968,207244.0,207762.0,20.9,14.2,27.6,0.0,0.0,3.6,1.9,58.9,0.0,0.0,56,124844.0,133.52299465240642,935.0
20180601,4.966,211593.0,211084.0,23.8,17.5,30.2,0.0,0.0,4.3,1.9,50.4,0.0,0.0,56,126636.0,135.2948717948718,936.0
20180602,4.624,145070.0,144298.0,23.4,17.6,30.1,0.0,0.0,4.5,2.0,44.5,0.0,0.0,56,93284.0,99.66239316239316,936.0
20180603,4.758,99084.0,100148.0,24.0,16.9,30.8,0.0,0.0,4.2,1.6,39.4,0.0,0.0,56,68645.0,73.49571734475374,934.0
20180604,4.664,200332.0,201027.0,22.6,18.9,27.5,0.0,0.0,4.4,1.9,50.1,0.0,0.0,56,121662.0,130.1197860962567,935.0
20180605,4.608,208829.0,208672.0,23.7,17.7,29.2,0.0,0.0,4.0,1.7,52.5,0.0,0.0,56,125223.0,133.7852564102564,936.0
20180606,4.844,113396.0,114645.0,23.0,18.4,27.9,0.0,0.0,4.0,2.0,62.9,0.0,0.0,56,78467.0,84.0117773019272,934.0
20180607,4.76,204872.0,206282.0,22.2,17.8,29.4,0.0,0.0,4.1,2.0,69.3,0.0,0.0,56,125845.0,134.44978632478632,936.0
20180608,5.09,209369.0,209284.0,21.9,18.5,27.0,0.0,0.0,3.7,2.1,68.0,0.0,0.0,56,128461.0,137.2446581196581,936.0
20180609,3.788,140031.0,139855.0,23.7,18.9,30.1,5.0,0.5,3.5,1.4,60.6,0.0,0.0,56,93940.0,100.47058823529412,935.0
20180610,4.476,93920.0,94791.0,21.3,18.3,24.9,4.67,0.5,2.9,1.4,59.9,0.0,0.0,56,32245.0,66.48453608247422,485.0
20180611,3.534,197820.0,198527.0,20.2,18.0,23.9,5.42,5.0,4.3,1.4,67.3,0.0,0.0,56,121082.0,130.05585392051557,931.0
20180612,5.25,206790.0,206855.0,21.3,16.6,27.1,1.08,0.0,4.7,1.7,65.5,0.0,0.0,56,125023.0,133.7144385026738,935.0
20180613,5.558,117261.0,118101.0,22.0,18.3,27.0,0.33,0.0,5.1,1.5,64.0,0.0,0.0,56,82824.0,88.58181818181818,935.0
20180614,3.312,199674.0,200400.0,21.6,18.8,25.1,7.08,29.0,3.7,1.1,74.9,0.0,0.0,56,95937.56348661632,100.139604976089,960.2594371997254
20180615,4.958,207858.0,208384.0,21.7,17.2,27.0,4.17,16.5,2.7,1.4,60.8,0.0,0.0,56,126076.0,134.6965811965812,936.0
20180616,4.976,140339.0,138838.0,22.5,16.3,28.7,0.0,0.0,2.8,1.4,56.4,0.0,0.0,56,91809.0,98.296573875803,934.0
20180617,4.814,97571.0,98487.0,22.8,18.9,27.5,0.0,0.0,3.9,1.3,66.9,0.0,0.0,56,67146.0,72.2,930.0
20180618,4.056,198864.0,200379.0,24.8,19.9,30.8,0.0,0.0,4.0,1.5,54.9,0.0,0.0,56,122327.0,131.2521459227468,932.0
20180619,5.16,202195.0,201706.0,22.4,19.1,27.2,0.0,0.0,3.6,1.8,61.3,0.0,0.0,56,123084.0,131.78158458244113,934.0
20180620,4.978,204213.0,204896.0,22.7,19.1,28.4,0.0,0.0,4.2,2.3,68.1,0.0,0.0,56,126309.0,135.08983957219252,935.0
20180621,5.184,203354.0,203839.0,23.7,19.4,28.7,0.0,0.0,4.4,2.2,60.1,0.0,0.0,56,125509.0,134.09081196581195,936.0
20180622,4.972,207616.0,207641.0,25.0,18.2,32.0,0.0,0.0,4.3,1.8,45.1,0.0,0.0,56,128366.0,137.14316239316238,936.0
20180623,5.048,144330.0,143475.0,24.5,20.9,28.9,0.0,0.0,4.4,2.0,50.6,0.0,0.0,56,94143.0,100.68770053475936,935.0
20180624,4.494,98448.0,99178.0,25.2,20.1,32.1,0.0,0.0,3.7,1.9,62.8,0.0,0.0,56,67393.0,72.54359526372444,929.0
