일시,중랑구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180130,0.098,147698.0,147295.0,-5.3,-11.4,-0.8,8.67,2.9,3.8,1.3,62.0,3.5,0.0,49,146779.0,105.067287043665,1397.0
20180131,0.1,150289.0,142968.0,-2.6,-5.2,0.0,0.67,0.0,3.4,1.6,54.5,0.0,0.0,49,154619.0,110.20598717034925,1403.0
20180201,0.202,148925.0,143207.0,-4.0,-8.8,1.2,0.0,0.0,3.9,1.6,44.1,0.0,0.0,49,152316.0,108.33285917496444,1406.0
20180202,0.224,154195.0,147890.0,-2.4,-7.6,3.8,0.0,0.0,3.6,1.6,51.1,0.0,0.0,49,157226.0,111.90462633451958,1405.0
20180203,0.152,115787.0,112479.0,-7.3,-10.4,-2.1,3.83,0.5,5.7,3.8,47.0,0.3,0.0,49,117457.0,83.77817403708987,1402.0
20180204,0.126,82374.0,80037.0,-9.5,-12.8,-5.2,0.0,0.0,5.6,3.1,40.9,0.0,0.0,49,87345.0,62.88336933045356,1389.0
20180205,0.144,144624.0,139235.0,-9.4,-11.8,-5.1,0.0,0.0,5.6,3.0,37.8,0.0,0.0,49,150312.0,107.36571428571428,1400.0
20180206,0.114,144354.0,138928.0,-10.1,-12.8,-5.8,0.0,0.0,4.9,3.1,36.5,0.0,0.0,49,150021.0,107.31115879828326,1398.0
20180207,0.158,148153.0,142640.0,-8.0,-13.4,-1.6,0.0,0.0,3.3,1.5,39.8,0.0,0.0,49,155565.0,111.03854389721629,1401.0
20180208,0.174,152176.0,145825.0,-4.4,-9.7,2.0,0.0,0.0,3.0,1.2,43.3,0.0,0.0,49,156006.0,111.35331905781584,1401.0
20180209,0.23,154630.0,148830.0,0.4,-5.3,6.1,0.0,0.0,3.0,1.1,43.9,0.0,0.0,49,154405.0,110.05345687811833,1403.0
20180210,0.236,117451.0,113254.0,-0.5,-6.9,3.2,0.0,0.0,6.3,3.0,47.4,0.0,0.0,49,118961.0,85.27670250896057,1395.0
20180211,0.144,83369.0,80171.0,-6.1,-9.5,-2.2,1.0,0.0,5.1,2.7,42.5,0.0,0.0,49,86602.0,62.124820659971306,1394.0
20180212,0.178,147356.0,142217.0,-5.8,-9.6,-1.8,2.17,0.0,5.2,2.7,40.8,0.0,0.0,49,151054.0,107.58831908831908,1404.0
20180213,0.288,150148.0,144529.0,-0.8,-7.4,4.3,0.0,0.0,5.6,2.7,54.5,0.0,0.0,49,152208.0,108.10227272727272,1408.0
20180214,0.272,148890.0,142272.0,3.5,-0.7,8.7,0.0,0.0,5.4,2.6,51.0,0.0,0.0,49,151475.0,108.27376697641172,1399.0
20180215,0.218,67287.0,63183.0,-0.7,-3.7,4.0,0.0,0.0,4.4,2.5,28.0,0.0,0.0,49,67354.0,48.91358024691358,1377.0
20180216,0.192,62985.0,62791.0,-1.1,-5.5,4.9,0.0,0.0,5.5,2.1,40.1,0.0,0.0,49,55861.0,40.83406432748538,1368.0
20180217,0.236,75085.0,74338.0,-3.0,-7.1,1.4,0.0,0.0,5.5,2.9,25.6,0.0,0.0,49,69548.0,50.2514450867052,1384.0
20180218,0.262,82733.0,80357.0,-0.4,-4.9,5.2,0.0,0.0,3.5,1.3,26.9,0.0,0.0,49,81669.0,58.62814070351759,1393.0
20180219,0.32,145754.0,141080.0,1.8,-1.9,6.8,0.0,0.0,3.0,1.5,48.6,0.0,0.0,49,143413.0,102.7313753581662,1396.0
20180220,0.302,151876.0,146228.0,0.9,-2.4,5.5,0.0,0.0,5.8,2.5,41.0,0.0,0.0,49,149428.0,106.58202567760344,1402.0
20180221,0.338,152013.0,147008.0,-0.9,-4.5,4.4,0.0,0.0,5.2,2.3,31.5,0.0,0.0,49,150811.0,107.41524216524216,1404.0
20180222,0.318,153831.0,148512.0,1.3,-3.9,5.4,0.67,0.4,5.2,2.2,59.0,0.4,0.0,49,152624.0,108.86162624821684,1402.0
20180223,0.246,157848.0,151842.0,4.2,-0.3,8.6,2.75,3.7,5.0,1.9,81.1,3.7,0.0,49,154830.0,110.27777777777776,1404.0
20180224,0.288,126891.0,121736.0,2.4,-1.1,7.2,0.0,0.0,3.9,2.1,49.4,0.0,0.0,49,121382.0,86.39288256227758,1405.0
20180225,0.314,93729.0,89953.0,1.9,-1.6,7.9,0.0,0.0,3.8,1.7,40.6,0.0,0.0,49,90209.0,64.435,1400.0
20180226,0.394,151561.0,145094.0,3.1,-3.2,10.4,0.0,0.0,3.6,1.4,43.1,0.0,0.0,49,149408.0,106.41595441595442,1404.0
20180227,0.396,151934.0,145458.0,4.2,0.6,6.9,0.0,0.0,1.8,0.9,48.8,0.0,0.0,49,150230.0,107.46065808297568,1398.0
20180228,0.15,151058.0,143913.0,4.6,1.8,7.8,11.25,25.0,3.7,2.0,73.3,0.0,0.0,49,149563.0,106.2992181947406,1407.0
20180301,0.226,95542.0,93447.0,-0.2,-4.3,3.0,4.25,0.5,6.9,3.8,61.9,0.0,0.0,49,100428.0,71.6830835117773,1401.0
20180302,0.346,154346.0,147789.0,-0.7,-6.7,5.4,0.0,0.0,3.3,1.5,34.0,0.0,0.0,49,163743.0,116.70919458303636,1403.0
20180303,0.598,120306.0,114762.0,7.9,-0.1,16.2,1.17,0.0,3.9,1.5,38.1,0.0,0.0,49,118940.0,84.71509971509971,1404.0
20180304,0.26,84537.0,81542.0,9.8,7.6,11.9,13.75,11.5,3.5,1.2,89.1,0.0,0.0,49,87405.0,62.92656587473002,1389.0
20180305,0.326,156199.0,149689.0,5.5,1.3,11.4,9.92,3.5,3.5,2.0,67.5,0.0,0.0,49,160795.0,114.52635327635328,1404.0
20180306,0.588,158703.0,152773.0,4.5,-1.1,10.9,0.0,0.0,3.7,1.6,46.8,0.0,0.0,49,161612.0,114.94452347083926,1406.0
20180307,0.53,157825.0,152390.0,6.4,2.2,10.7,3.5,0.5,3.2,1.8,54.0,0.0,0.0,49,162363.0,115.80813124108415,1402.0
20180308,0.334,153686.0,148423.0,4.6,2.7,9.7,10.25,4.0,4.5,1.9,76.0,0.0,0.0,49,157100.0,111.73541963015649,1406.0
20180309,0.606,160591.0,153396.0,4.5,1.4,9.6,0.0,0.0,4.2,1.5,63.3,0.0,0.0,49,161086.0,114.65195729537366,1405.0
20180310,0.606,126774.0,120775.0,4.6,0.7,9.7,0.0,0.0,5.9,2.0,65.8,0.0,0.0,49,121964.0,87.241773962804,1398.0
20180311,0.712,93892.0,90291.0,6.4,2.7,12.2,0.0,0.0,4.2,2.0,51.3,0.0,0.0,49,92049.0,66.1271551724138,1392.0
20180312,0.688,157700.0,151371.0,8.0,2.2,15.5,0.0,0.0,4.2,1.4,45.8,0.0,0.0,49,158849.0,113.30171184022824,1402.0
20180313,0.798,159151.0,152386.0,12.4,5.2,18.8,0.0,0.0,4.3,1.8,60.5,0.0,0.0,49,160048.0,114.2384011420414,1401.0
20180314,1.0,160625.0,154297.0,17.0,13.6,22.1,0.0,0.0,5.0,2.3,58.8,0.0,0.0,49,162914.0,115.78820184790334,1407.0
20180315,0.336,153382.0,146892.0,12.4,8.4,16.6,13.5,27.0,4.8,2.1,92.1,0.0,0.0,49,156987.0,111.89379900213828,1403.0
20180316,0.756,163546.0,157022.0,7.1,3.6,12.2,0.0,0.0,3.1,1.9,46.9,0.0,0.0,49,164325.0,116.87411095305832,1406.0
20180317,0.806,130180.0,124364.0,6.6,0.5,14.0,0.0,0.0,3.8,1.5,48.0,0.0,0.0,49,124496.0,88.79885877318117,1402.0
20180318,0.564,95018.0,91355.0,8.2,5.4,12.5,7.42,0.5,2.9,1.2,55.9,0.0,0.0,49,93056.0,66.7068100358423,1395.0
20180319,0.39,154359.0,148157.0,8.0,6.2,10.4,13.5,1.0,4.2,2.5,64.5,0.0,0.0,49,157745.0,112.27402135231316,1405.0
20180320,0.538,158081.0,152048.0,4.7,1.6,9.1,0.0,0.0,4.8,3.4,39.9,0.0,0.0,49,161600.0,115.51107934238742,1399.0
20180321,0.428,154598.0,148642.0,2.1,1.1,5.3,8.33,1.0,3.3,1.7,64.1,0.0,0.0,49,160920.0,114.6153846153846,1404.0
20180322,0.666,159416.0,152655.0,4.9,0.6,11.6,0.0,0.0,5.0,2.2,61.5,0.0,0.0,49,160273.0,113.99217638691324,1406.0
20180323,0.854,163646.0,156843.0,6.1,1.8,12.5,0.0,0.0,4.2,2.0,55.3,0.0,0.0,49,164113.0,116.80640569395018,1405.0
20180324,0.718,129004.0,123094.0,7.6,4.0,13.1,0.0,0.0,4.4,2.1,61.9,0.0,0.0,49,124833.0,88.91239316239316,1404.0
20180325,0.72,93032.0,89654.0,9.6,4.6,16.9,0.0,0.0,3.5,1.7,65.6,0.0,0.0,49,91795.0,65.66165951359085,1398.0
20180326,0.674,156860.0,149767.0,11.0,5.3,18.1,0.0,0.0,4.4,1.9,64.5,0.0,5.68,49,160093.0,114.27052105638828,1401.0
20180327,0.802,158810.0,152279.0,13.3,7.7,20.0,0.0,0.0,3.9,1.6,61.1,0.0,0.0,49,162418.0,115.7647897362794,1403.0
20180328,1.012,159315.0,152905.0,14.0,9.4,19.0,0.0,0.0,4.8,2.2,66.4,0.0,0.0,49,163254.0,116.02985074626864,1407.0
20180329,1.062,158862.0,151391.0,15.4,11.8,21.1,0.0,0.0,4.0,1.6,66.3,0.0,0.0,49,160942.0,114.46799431009956,1406.0
20180330,1.168,164484.0,156430.0,14.8,9.8,21.9,0.0,0.0,3.8,1.7,55.6,0.0,0.0,49,164757.0,117.431931575196,1403.0
20180331,1.144,127704.0,120862.0,14.0,9.3,20.1,0.0,0.0,4.5,1.9,52.9,0.0,0.0,49,125070.0,89.20827389443652,1402.0
20180401,1.156,90865.0,87621.0,15.6,11.7,18.5,0.0,0.0,3.5,1.5,68.8,0.0,0.0,49,92715.0,66.51004304160689,1394.0
20180402,1.448,157939.0,150317.0,18.4,14.9,23.7,0.0,0.0,4.5,1.9,64.0,0.0,0.0,49,157661.0,112.7761087267525,1398.0
20180403,1.41,158290.0,151508.0,17.8,14.9,21.2,2.92,0.1,4.4,2.1,72.9,0.0,0.0,49,159978.0,114.10699001426534,1402.0
20180404,1.122,158388.0,151129.0,13.4,9.5,18.2,6.5,18.5,5.1,1.9,67.0,0.0,0.0,49,161133.0,114.76709401709402,1404.0
20180405,0.13,153984.0,147866.0,7.6,6.7,9.5,19.67,10.5,3.5,2.0,90.6,0.0,0.0,49,157667.0,112.29843304843304,1404.0
20180406,0.638,161651.0,154763.0,5.8,3.0,8.6,5.42,6.5,5.7,3.1,71.6,0.0,0.0,49,164427.0,117.11324786324786,1404.0
20180407,0.772,127152.0,120872.0,4.2,1.4,8.6,2.58,0.2,6.0,4.1,45.5,0.0,0.0,49,123321.0,88.46556671449068,1394.0
20180408,0.368,89459.0,87323.0,3.9,0.6,7.9,6.5,3.0,3.6,1.8,59.6,0.0,0.0,49,87575.0,63.231046931407946,1385.0
20180409,1.162,157450.0,149961.0,7.9,0.1,15.4,0.0,0.0,2.9,1.1,57.9,0.0,1.9,49,158047.0,112.97140814867764,1399.0
20180410,0.928,159983.0,153337.0,15.1,6.9,21.9,2.58,5.0,8.8,3.5,51.0,0.0,0.0,49,160489.0,114.30840455840456,1404.0
20180411,1.204,159893.0,153103.0,12.6,8.7,17.3,0.0,0.0,6.1,3.0,49.4,0.0,0.0,49,160889.0,114.67498218104063,1403.0
20180412,1.246,160648.0,154044.0,13.3,6.8,19.6,0.0,0.0,6.2,2.6,30.5,0.0,0.0,49,160076.0,114.17689015691867,1402.0
20180413,1.35,164242.0,155881.0,14.6,8.3,19.3,0.0,0.0,3.7,1.3,22.9,0.0,0.0,49,162677.0,115.53764204545456,1408.0
20180414,0.462,116104.0,110311.0,9.0,7.5,14.8,13.33,9.0,4.1,1.8,78.8,0.0,0.0,49,115854.0,82.57590876692801,1403.0
20180415,0.73,96440.0,92389.0,9.5,5.6,14.2,0.0,0.0,4.9,2.4,65.5,0.0,0.0,49,95130.0,68.04721030042919,1398.0
20180416,1.32,158993.0,151315.0,11.6,4.9,18.8,0.0,0.0,4.7,1.6,41.9,0.0,0.0,49,158767.0,112.92105263157896,1406.0
20180417,1.402,159441.0,152957.0,12.9,6.8,20.1,0.0,0.0,5.5,1.9,37.9,0.0,0.0,49,159256.0,113.51104775481112,1403.0
20180418,1.138,160732.0,153762.0,12.4,6.2,19.3,0.0,0.0,3.9,1.9,35.4,0.0,0.0,49,161139.0,114.85317177476836,1403.0
20180419,0.974,158985.0,151888.0,14.0,7.4,20.5,0.0,0.0,5.1,1.9,38.8,0.0,0.0,49,157983.0,112.44341637010676,1405.0
20180420,1.346,162715.0,154992.0,18.4,11.0,26.3,0.0,0.0,3.6,1.3,46.0,0.0,0.0,49,163174.0,116.13807829181496,1405.0
20180421,1.584,127163.0,119799.0,18.7,12.3,25.6,0.0,0.0,4.6,1.9,32.0,0.0,0.0,49,124133.0,88.22530206112296,1407.0
20180422,0.54,85329.0,82673.0,15.5,10.7,21.0,14.5,15.5,2.9,1.1,57.4,0.0,0.0,49,86553.0,62.35806916426513,1388.0
20180423,0.036,145884.0,139886.0,9.3,8.4,10.7,23.42,59.0,3.0,2.2,93.9,0.0,0.0,49,149969.0,106.9679029957204,1402.0
20180424,1.084,158272.0,151264.0,12.1,8.9,16.1,5.75,3.0,2.8,1.4,63.3,0.0,0.0,49,158547.0,112.84483985765124,1405.0
20180425,1.716,161570.0,154179.0,14.6,5.7,23.3,0.0,0.0,4.4,1.5,37.8,0.0,0.0,49,163389.0,116.12579957356076,1407.0
20180426,1.512,161237.0,154020.0,14.9,10.0,22.1,0.0,0.0,5.1,2.1,51.9,0.0,0.0,49,161725.0,115.18874643874643,1404.0
20180427,1.598,164533.0,156568.0,15.7,9.7,23.3,0.0,0.0,3.8,1.7,52.9,0.0,0.0,49,163153.0,115.79347054648689,1409.0
20180428,1.712,130673.0,122984.0,15.4,10.5,21.7,0.0,0.0,4.8,2.0,49.0,0.0,0.0,49,123650.0,87.81960227272727,1408.0
20180429,1.844,95559.0,92138.0,16.2,9.4,22.9,0.0,0.0,4.3,1.9,43.1,0.0,0.0,49,95010.0,67.96137339055794,1398.0
20180430,1.59,159423.0,150897.0,19.2,14.1,25.0,0.0,0.0,3.6,1.6,61.6,0.0,0.0,49,159515.0,113.3724235963042,1407.0
20180501,1.914,126483.0,121376.0,20.4,17.8,23.3,1.42,0.0,4.0,1.5,72.8,0.0,0.0,49,77783.0,96.7450248756219,804.0
20180502,0.4,154826.0,148291.0,15.1,8.7,19.7,14.83,12.0,5.2,1.9,90.4,0.0,0.0,49,159451.0,114.05650929899856,1398.0
20180503,1.34,160869.0,153422.0,11.2,6.9,14.7,3.62,1.0,5.3,2.7,62.4,0.0,0.0,49,162220.0,115.78872234118488,1401.0
20180504,1.662,168530.0,160863.0,14.1,8.8,20.0,0.0,0.0,5.9,2.7,45.5,0.0,0.0,49,165957.0,117.8671875,1408.0
20180505,1.632,119551.0,110851.0,18.3,11.6,24.6,0.0,0.0,4.8,2.6,46.8,0.0,0.0,49,108779.0,77.810443490701,1398.0
20180506,1.036,83692.0,81147.0,16.6,15.0,20.7,13.83,22.0,3.9,1.1,86.4,0.0,0.0,49,85304.0,61.106017191977074,1396.0
20180507,2.082,105774.0,102411.0,19.2,14.0,25.5,0.0,0.0,3.7,1.2,60.3,0.0,0.0,49,102510.0,73.32618025751073,1398.0
20180508,1.608,160806.0,155098.0,17.5,11.6,22.9,0.0,0.0,2.7,1.7,50.9,0.0,0.0,49,161898.0,115.55888650963595,1401.0
20180509,1.972,162782.0,154580.0,15.7,9.2,21.8,0.0,0.0,3.6,1.7,50.4,0.0,0.0,49,161403.0,115.12339514978602,1402.0
20180510,1.908,161990.0,155244.0,15.4,11.3,21.4,0.0,0.0,5.4,2.3,67.4,0.0,0.0,49,161790.0,115.48179871520342,1401.0
20180511,1.87,167224.0,159989.0,16.1,11.9,21.3,0.0,0.0,3.5,1.8,59.8,0.0,0.0,49,165074.0,117.4068278805121,1406.0
20180512,0.236,117625.0,113229.0,14.2,11.8,16.1,21.0,32.0,2.9,0.9,89.3,0.0,0.0,49,124972.6925188744,88.71937524847354,1408.6870281400138
20180513,1.838,97018.0,92976.0,15.8,12.7,20.0,8.25,0.5,3.9,1.9,82.5,0.0,1.58,49,93152.0,66.68002863278454,1397.0
20180514,1.786,159809.0,152555.0,18.2,11.9,24.5,0.0,0.0,3.4,1.4,71.4,0.0,0.0,49,158844.0,113.21739130434784,1403.0
20180515,1.766,164341.0,156625.0,23.2,15.4,29.3,0.75,0.0,3.4,1.1,56.4,0.0,0.0,49,164714.0,117.40128296507484,1403.0
20180516,0.394,151740.0,144653.0,22.3,21.8,24.4,17.07,45.0,6.1,1.9,93.8,0.0,0.0,49,155649.0,110.94012829650748,1403.0
20180517,0.168,153025.0,144869.0,20.9,18.8,23.5,19.75,83.0,8.0,1.4,97.0,0.0,0.33,49,156311.0,111.33262108262107,1404.0
20180518,0.936,167062.0,159382.0,16.3,12.2,19.3,13.33,6.5,2.7,1.3,86.8,0.0,0.0,49,167570.0,119.26690391459074,1405.0
20180519,2.142,148906.0,138624.0,17.6,10.3,24.7,0.0,0.0,2.9,1.5,47.5,0.0,0.0,49,136286.0,97.7661406025825,1394.0
20180520,2.106,109731.0,104478.0,17.0,11.5,22.6,0.0,0.0,2.8,1.4,32.1,0.0,0.0,49,103699.0,74.33620071684588,1395.0
20180521,2.086,158519.0,148921.0,17.8,11.3,23.7,0.0,0.0,3.5,1.4,43.9,0.0,0.0,49,154221.0,110.23659756969263,1399.0
20180522,0.948,104777.0,100185.0,18.1,15.4,23.2,9.5,12.5,3.1,1.1,75.5,0.0,0.0,49,102515.0,73.43481375358166,1396.0
20180523,1.808,161566.0,153671.0,17.3,13.6,23.3,3.5,6.5,5.0,2.5,57.1,0.0,0.0,49,162130.0,115.3950177935943,1405.0
20180524,1.85,160810.0,153530.0,18.3,11.2,23.7,0.0,0.0,5.4,2.2,47.4,0.0,0.0,49,160719.0,114.79928571428572,1400.0
20180525,1.964,167515.0,158536.0,19.7,13.8,26.2,0.0,0.0,4.5,1.8,47.4,0.0,0.0,49,165340.0,117.34563520227113,1409.0
20180526,2.056,132395.0,124221.0,21.8,14.0,29.6,0.0,0.0,4.0,1.4,50.1,0.0,0.0,49,126964.0,90.30156472261736,1406.0
20180527,2.1,96205.0,91488.0,20.3,17.3,24.7,0.0,0.0,4.1,1.7,47.4,0.0,0.0,49,92226.0,65.78174037089872,1402.0
20180528,2.056,157934.0,150114.0,22.3,16.2,29.1,0.0,0.0,4.3,1.6,49.8,0.0,0.0,49,158530.0,113.15488936473947,1401.0
20180529,1.602,158180.0,150713.0,21.4,19.1,25.9,3.0,1.0,4.4,1.8,69.3,0.0,0.0,49,159495.0,113.35820895522389,1407.0
20180530,2.062,160782.0,153006.0,20.2,15.8,24.7,2.25,0.0,4.4,1.9,69.8,0.0,0.0,49,162921.0,116.2061340941512,1402.0
20180531,2.062,159818.0,152783.0,20.9,14.2,27.6,0.0,0.0,3.6,1.9,58.9,0.0,0.0,49,162042.0,115.332384341637,1405.0
20180601,2.166,163157.0,156128.0,23.8,17.5,30.2,0.0,0.0,4.3,1.9,50.4,0.0,0.0,49,165221.0,117.59501779359432,1405.0
20180602,2.058,126421.0,118501.0,23.4,17.6,30.1,0.0,0.0,4.5,2.0,44.5,0.0,0.0,49,122938.0,88.06446991404012,1396.0
20180603,2.078,92984.0,89232.0,24.0,16.9,30.8,0.0,0.0,4.2,1.6,39.4,0.0,0.0,49,94094.0,67.4025787965616,1396.0
20180604,2.126,156689.0,148602.0,22.6,18.9,27.5,0.0,0.0,4.4,1.9,50.1,0.0,0.0,49,156864.0,111.56756756756756,1406.0
20180605,2.296,160819.0,152262.0,23.7,17.7,29.2,0.0,0.0,4.0,1.7,52.5,0.0,0.0,49,161608.0,115.26961483594864,1402.0
20180606,2.122,103455.0,99085.0,23.0,18.4,27.9,0.0,0.0,4.0,2.0,62.9,0.0,0.0,49,106210.0,76.08166189111748,1396.0
20180607,2.15,158187.0,151414.0,22.2,17.8,29.4,0.0,0.0,4.1,2.0,69.3,0.0,0.0,49,160810.0,114.53703703703704,1404.0
20180608,2.346,163145.0,155837.0,21.9,18.5,27.0,0.0,0.0,3.7,2.1,68.0,0.0,0.0,49,164359.0,116.89829302987198,1406.0
20180609,1.954,123765.0,116864.0,23.7,18.9,30.1,5.0,0.5,3.5,1.4,60.6,0.0,0.0,49,123465.0,88.25232308791995,1399.0
20180610,2.098,89413.0,85680.0,21.3,18.3,24.9,4.67,0.5,2.9,1.4,59.9,0.0,0.0,49,53807.0,66.92412935323384,804.0
20180611,1.656,155786.0,148770.0,20.2,18.0,23.9,5.42,5.0,4.3,1.4,67.3,0.0,0.0,49,157295.0,112.2733761598858,1401.0
20180612,2.27,160772.0,152611.0,21.3,16.6,27.1,1.08,0.0,4.7,1.7,65.5,0.0,0.0,49,161663.0,115.39114917915776,1401.0
20180613,2.664,106518.0,101109.0,22.0,18.3,27.0,0.33,0.0,5.1,1.5,64.0,0.0,0.0,49,110457.0,78.84154175588866,1401.0
20180614,1.486,155561.0,147744.0,21.6,18.8,25.1,7.08,29.0,3.7,1.1,74.9,0.0,0.0,49,124972.6925188744,88.71937524847354,1408.6870281400138
20180615,2.198,161274.0,154058.0,21.7,17.2,27.0,4.17,16.5,2.7,1.4,60.8,0.0,0.0,49,162468.0,115.6355871886121,1405.0
20180616,2.454,124373.0,117094.0,22.5,16.3,28.7,0.0,0.0,2.8,1.4,56.4,0.0,0.0,49,122300.0,87.41958541815582,1399.0
20180617,2.38,90526.0,86347.0,22.8,18.9,27.5,0.0,0.0,3.9,1.3,66.9,0.0,0.0,49,92075.0,65.95630372492836,1396.0
20180618,1.934,155350.0,149369.0,24.8,19.9,30.8,0.0,0.0,4.0,1.5,54.9,0.0,0.0,49,157609.0,112.09743954480795,1406.0
20180619,2.536,156339.0,149201.0,22.4,19.1,27.2,0.0,0.0,3.6,1.8,61.3,0.0,0.0,49,157286.0,111.94733096085407,1405.0
20180620,2.424,157800.0,150433.0,22.7,19.1,28.4,0.0,0.0,4.2,2.3,68.1,0.0,0.0,49,160948.0,114.3909026297086,1407.0
20180621,2.438,156768.0,149618.0,23.7,19.4,28.7,0.0,0.0,4.4,2.2,60.1,0.0,0.0,49,158510.0,112.578125,1408.0
20180622,2.568,161080.0,153383.0,25.0,18.2,32.0,0.0,0.0,4.3,1.8,45.1,0.0,0.0,49,163382.0,116.20341394025604,1406.0
